site,city,season,lat,long,days.active,Black bear,Black-tailed deer,Bobcat,Coyote,Douglas squirrel,Eastern cottontail rabbit,Eastern gray squirrel,Elk,Fox squirrel,Mountain lion,Raccoon,River otter,Striped skunk,Virginia opossum,Weasel (cannot ID),Western Chipmunks,Western gray squirrel,for_ever_temp,for_ever_taig,for_ever_trop,for_dec_trop,for_dec_temp,for_mix,shrub_trop,shrub_temp,grass_trop,grass_temp,shrub_lich,grass_lich,barren_lich,wetland,cropland,barren,urban,water,ice,mpa_undev,pd_undev,ed_undev,enn_mn_undev,sdhi,for_all,shrub_all,grass_all,veg_woody,veg_all,natural,develop,prop_ndvi_0.5,prop_ndvi_0.6,prop_ndvi_avg,POPDEN2020,med_income,Impervious,city_site,units_lead,pm2.5_count,avg_ptsdf,prox_heavy_traffic,avg_pnpl,avg_rsei,avg_pwdis,diesel_tons_km2,avg_prmp,avg_ozone,TAWA_LEAD_PCT,TAWA_PM25_PCT,TAWA_PTSDF_PCT,TAWA_TRAFFIC_PCT,TAWA_PNPL_PCT,TAWA_TOXIC_PCT,TAWA_PWDIS_PCT,TAWA_OZONE_PCT,TAWA_DIESEL_PCT,TAWA_PRMP_PCT,TAWA_EXPOSURE,TAWA_RISK,TAWA_BURDEN,TAWA_BURDEN_SCALED,TAWA_BURDEN_PERCENTILE
P-RWSR,tawa,Fall20,46.9255981445312,-122.268463134766,36,1,14,0,25,0,0,0,10,0,0,5,0,1,0,0,0,0,0.1834582292534,0,0,0,0.0333055786844296,0.325284485151263,0,0.0249791840133222,0,0.0169303358312517,0,0,0,0.0657785179017485,0.0543991118512351,0.00222037191229531,0.103247293921732,0.190396891479323,0,23.49,2.77546489036914,60.9677120917754,61.5737865166653,0.987507120855633,0.542048293089092,0.0249791840133222,0.0169303358312517,0.567027477102415,0.583957812933666,0.65195670274771,0.157646405772967,0.797891963109354,0.752569169960474,0.697173324182178,43.0559883117676,66338.4765625,2.66921520233154,tawa_P-RWSR,324.967834472656,0.266131937503815,0.0448603369295597,9925.279296875,0.0448603369295597,46.2225151062012,2.30000001266717e-8,0.203086614608765,0.0448603369295597,58.5467872619629,10,2,3,2,3,2,6,39,2,3,11.25,2.375,9.08333333333333,2.87598944591029,2
B-TP,tawa,Fall19,47.2525100708008,-122.552337646484,35,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0.0246947835738069,0,0,0,0.0271920088790233,0.0221975582685905,0,0,0,0,0,0,0,0,0,0.0330188679245283,0.38873473917869,0,0,8.685,1.23319768158836,27.5619681834998,61.7705098312484,0.95184288473616,0.0740843507214206,0,0,0.0740843507214206,0.0740843507214206,0.107103218645949,0.38873473917869,0.332630191166777,0.188398154251813,0.240234441073352,1109.68823242188,83733.1953125,19.2890548706055,tawa_B-TP,292.051727294922,0.401354283094406,0.179999992251396,86991.640625,0.169998183846474,880.153076171875,2.63999993421749e-7,12.1992015838623,0.200029149651527,55.1841239929199,7,6,5,16,18,5,9,33,23,15,16.75,5.625,14.9166666666667,4.72295514511873,12
B-TP,tawa,Summer19,47.2525100708008,-122.552337646484,35,0,2,0,1,0,60,17,0,0,0,1,0,0,0,0,0,0,0.0246947835738069,0,0,0,0.0271920088790233,0.0221975582685905,0,0,0,0,0,0,0,0,0,0.0330188679245283,0.38873473917869,0,0,8.685,1.23319768158836,27.5619681834998,61.7705098312484,0.95184288473616,0.0740843507214206,0,0,0.0740843507214206,0.0740843507214206,0.107103218645949,0.38873473917869,0.332630191166777,0.188398154251813,0.240234441073352,1109.68823242188,83733.1953125,19.2890548706055,tawa_B-TP,292.051727294922,0.401354283094406,0.179999992251396,86991.640625,0.169998183846474,880.153076171875,2.63999993421749e-7,12.1992015838623,0.200029149651527,55.1841239929199,7,6,5,16,18,5,9,33,23,15,16.75,5.625,14.9166666666667,4.72295514511873,12
G-KP1,tawa,Fall20,47.2690620422363,-122.507987976074,38,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233641160949868,0.0507915567282322,0.425164714314309,2005.31677246094,75941.5390625,62.2908210754395,tawa_G-KP1,498.831390380859,0.418147355318069,1.09033143520355,90453.4609375,0.197648614645004,1133.50427246094,NA,8.4035816192627,0.191570580005646,54.6106338500977,24,15,13,17,21,8,NA,16,14,14,13.25,9,14.8333333333333,4.69656992084433,11
G-KP1,tawa,Spring19,47.2698554992676,-122.508392333984,36,0,5,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233641160949868,0.0507915567282322,0.425164714314309,2005.31677246094,75941.5390625,62.2908210754395,tawa_G-KP1,498.831390380859,0.418147355318069,1.09033143520355,90453.4609375,0.197648614645004,1133.50427246094,NA,8.4035816192627,0.191570580005646,54.6106338500977,24,15,13,17,21,8,NA,16,14,14,13.25,9,14.8333333333333,4.69656992084433,11
G-KP1,tawa,Spring20,47.2690620422363,-122.507987976074,45,0,18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.233641160949868,0.0507915567282322,0.425164714314309,2005.31677246094,75941.5390625,62.2908210754395,tawa_G-KP1,498.831390380859,0.418147355318069,1.09033143520355,90453.4609375,0.197648614645004,1133.50427246094,NA,8.4035816192627,0.191570580005646,54.6106338500977,24,15,13,17,21,8,NA,16,14,14,13.25,9,14.8333333333333,4.69656992084433,11
G-SB,tawa,Fall19,47.2981910705566,-122.529968261719,35,0,9,0,1,49,0,3,0,0,0,0,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Fall20,47.2981910705566,-122.529968261719,38,0,36,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Spring19,47.2981910705566,-122.529968261719,37,0,7,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
G-SB,tawa,Spring20,47.2981910705566,-122.529968261719,51,0,3,0,0,0,0,8,0,0,0,12,0,0,0,0,0,0,0.205156639866925,0,0,0,0.00304962572775159,0.0235652897144441,0,0,0,0.00166343221513723,0,0,0,0,0,0.0110895481009149,0.377599112836152,0,0,13.23,1.84825801681915,41.4933924775899,63.5410196624968,1.07989502670375,0.231771555309121,0,0.00166343221513723,0.231771555309121,0.233434987524258,0.244524535625173,0.377599112836152,0.429400131839156,0.35174686882004,0.383154908307793,1100.23974609375,84449.6171875,19.1958599090576,tawa_G-SB,477.463409423828,0.402159839868546,0.88596647977829,53839.296875,0.120935566723347,1206.67492675781,NA,1.78083479404449,0.130311861634254,54.8090705871582,19,8,8,12,12,11,NA,26,8,8,13.25,5.875,12.75,4.03693931398417,8
