site,city,Pct_Units_Lead,PM2.5_Count,Average_PTSDF,Prox_Heavy_Traffic_Roadways,Average_PNPL,Average_RSEI_Concentrations,Average_PWDIS,LEAD_PCT,PM25_PCT,HAZARD_PCT,TRAFFIC_PCT,PNPL_PCT,TOXIC_PCT,PWDIS_PCT
B-TP,tawa,78,63,14,279,14,432,260,2,66,65,99,76,99,88
BGP1,sewa,407.3076923076923,188.84615384615384,295.9230769230769,279.2307692307692,72.76923076923077,420.15384615384613,232.6153846153846,99,92,99,99,99,99,84
BGP2,sewa,419.9230769230769,193.69230769230768,311.53846153846155,280.7692307692308,78.92307692307692,443.6923076923077,242.30769230769232,100,97,100,100,100,100,86
BRF1,sewa,200.07692307692307,162.53846153846155,284.7692307692308,204.30769230769232,45.61538461538461,178.6153846153846,258.7692307692308,77,85,98,23,90,16,88
DOS1,sewa,344,33,4,79,0,11,260,95,63,63,4,1,1,89
DRP2,sewa,336.7142857142857,177.14285714285714,217.21428571428572,183.5,43.78571428571429,433.14285714285717,204.42857142857142,93,89,87,20,88,100,80
DSP1,sewa,259,109,270,188,9,0,157,86,77,93,21,70,1,72
DWP1,sewa,275,191,152,113,39.5,57.5,235.5,88,94,80,9,87,6,84
FGL1,sewa,237.25,167.25,292.125,201,49.5,271.125,256.25,83,86,99,23,92,25,87
FRD1,sewa,343.5,59.5,7,112.5,0.5,21.5,260,95,65,64,8,1,2,89
G-CBP1,tawa,334.3076923076923,195.76923076923077,252.07692307692307,271.61538461538464,63.15384615384615,339.6923076923077,260,93,100,91,98,97,94,90
G-CLP3,tawa,105.5,114.21428571428571,75.92857142857143,23.928571428571427,23.928571428571427,32.214285714285715,260,3,79,72,2,81,4,90
G-FN1,tawa,146,67,63,217,9,28,260,70,66,67,26,71,2,91
G-FP1,tawa,260,105,198.42857142857142,48,44.285714285714285,98.85714285714286,260,86,75,85,3,89,10,91
G-IP,tawa,214.3846153846154,181.6153846153846,248.6153846153846,102.38461538461539,61.61538461538461,232.6153846153846,139.53846153846155,79,89,90,6,96,22,68
G-JP,tawa,288.14285714285717,105,160.14285714285714,98.35714285714286,32.07142857142857,102.21428571428571,260,89,76,83,6,85,11,92
G-KP1,tawa,227.57142857142858,99.14285714285714,107,140.35714285714286,25.71428571428571,225.85714285714286,260,82,75,75,15,83,21,92
G-OTP,tawa,283.0769230769231,171.15384615384616,219.53846153846155,181.92307692307693,51.61538461538461,383.38461538461536,260,89,87,87,19,92,97,93
G-SB,tawa,146,67,63,217,9,28,260,71,67,68,26,71,2,93
G-SERA,tawa,144.35714285714286,173.28571428571428,165.14285714285714,121.78571428571429,48.714285714285715,168.64285714285714,98,70,88,83,11,91,14,66
G-SP,tawa,225.30769230769232,190.84615384615384,242.92307692307693,184.6153846153846,73.92307692307692,331.84615384615387,104.92307692307693,82,94,90,20,99,93,66
G-TCC1,tawa,77.1875,113.0625,47.1875,15.0625,20.5,13.25,260,2,78,67,1,79,1,94
G-TNC1,tawa,183.57142857142858,108.07142857142857,174.07142857142858,48,35.857142857142854,86.42857142857143,260,75,76,84,3,86,8,94
G-VP,tawa,270.3076923076923,40.69230769230769,41.76923076923077,260.7692307692308,12.307692307692308,305,260,87,64,66,97,75,27,95
G-WLP1,tawa,139.5,151,150.35714285714286,124.42857142857142,27.71428571428571,389.07142857142856,260,37,83,80,11,84,98,95
G-WP2,tawa,237.53846153846155,176.3846153846154,137.84615384615384,115,24.692307692307693,287,260,84,88,76,10,82,25,96
HCN1,sewa,156.14285714285714,191,190.35714285714286,132,52.785714285714285,215.28571428571428,242.64285714285714,73,95,85,13,93,19,87
HFW1,sewa,329.2142857142857,151.78571428571428,105.92857142857143,126,2.2857142857142856,243.21428571428572,203.85714285714286,92,84,74,12,66,23,79
IRP1,sewa,189,134,70,272,4.285714285714286,268.2857142857143,155.57142857142858,76,81,70,98,67,24,71
JBP1,sewa,423,188.21428571428572,270.42857142857144,259.57142857142856,67.42857142857143,400.7857142857143,229.57142857142858,100,91,94,97,98,98,83
LTP1,sewa,184.75,111,286.5625,208.3125,14.1875,201.4375,160.8125,76,77,98,24,77,18,73
LWP2,sewa,340,159.6,277.1333333333333,106.13333333333334,17.666666666666664,371.73333333333335,144.93333333333334,94,85,95,7,79,97,69
MBC1,sewa,223.92307692307693,82.23076923076923,97.46153846153847,104.92307692307692,1.3846153846153846,96.38461538461539,42.69230769230769,81,72,72,7,3,9,2
MBC2,sewa,223.78571428571428,79.35714285714286,105.28571428571428,113.85714285714285,1.4285714285714286,101,43.07142857142857,81,71,74,9,3,11,3
MGP1,sewa,103,134,75,245,5,175,156,3,81,71,95,67,15,72
MPO1,sewa,419.15384615384613,98.53846153846153,129.07692307692307,211.07692307692307,44.38461538461539,326.3076923076923,109.23076923076923,99,74,75,25,89,93,67
MSR1,sewa,214.57142857142858,193.5,140.42857142857142,138.5,32.642857142857146,191.42857142857142,216.07142857142858,79,97,77,14,85,17,81
MWP1,sewa,200.0625,195.6875,147.375,147.25,59.1875,363.9375,238.0625,77,99,79,17,95,96,85
MWP2,sewa,203.35714285714286,195.64285714285714,147.28571428571428,147.14285714285714,57.642857142857146,354.92857142857144,236.5,78,99,78,17,95,95,85
NRP1,sewa,345.73333333333335,97.8,237.73333333333332,134.53333333333333,8.466666666666665,266.4,42.26666666666667,96,74,89,14,70,24,2
P-BLP,tawa,165.53846153846155,131.15384615384616,98.23076923076923,23,10.76923076923077,120.84615384615385,113.92307692307692,74,80,73,1,74,12,67
P-CCP,tawa,264.625,164.375,159.375,97.875,7,92.625,147.5,87,86,81,6,68,8,69
P-CUP,tawa,345.9166666666667,86.5,188.16666666666666,218.58333333333334,34.333333333333336,83,241,97,72,84,29,86,7,86
P-DPV,tawa,146,67,63,217,9,28,260,71,67,68,27,72,3,96
P-GP,tawa,345,141.57142857142858,237.42857142857142,254.85714285714286,47.857142857142854,175.71428571428572,194.85714285714286,96,82,89,96,90,16,78
P-GW1,tawa,368,188,273,141,55,171,181,98,91,94,16,93,15,77
P-JCP,tawa,217.3846153846154,67,73.61538461538461,197.69230769230768,12.846153846153847,39.92307692307692,260,80,68,71,22,76,5,97
P-LCC,tawa,239.4375,191.6875,202.875,133,21.375,99.5,172.3125,84,96,86,13,80,10,76
P-MCP,tawa,302.2,188.46666666666667,283.26666666666665,108.13333333333334,60.53333333333333,204,169.13333333333333,90,92,97,8,96,18,75
P-MKP2,tawa,297.15384615384613,190.15384615384616,257.46153846153845,141,49,211,167.84615384615384,90,93,92,16,91,19,75
P-OB,tawa,146,67,63,217,9,28,260,72,68,69,27,72,3,97
P-OLT,tawa,49,2,0,288,1,320,13,1,1,1,100,2,28,1
P-OV1,tawa,115,12.928571428571429,0.21428571428571427,256.2857142857143,1.2142857142857142,301.14285714285717,12.357142857142858,4,30,1,96,2,26,1
P-PCNA2,tawa,340.61538461538464,67,142.07692307692307,192.53846153846155,24.46153846153846,48.38461538461539,260,94,69,77,22,82,5,98
P-PDP,tawa,146,67,63,217,9,28,260,72,69,69,28,73,3,98
P-RP,tawa,146,67,63,217,9,28,260,73,70,70,28,73,4,99
P-RT,tawa,121.64285714285715,125,237,67.35714285714286,6,55.07142857142857,198.57142857142858,4,79,88,4,68,6,78
P-RWSR,tawa,117.42857142857143,8.571428571428571,1.142857142857143,222.57142857142858,2,320.57142857142856,83.57142857142858,4,1,1,62,66,28,3
P-SCP2,tawa,128.42857142857142,193,149.28571428571428,103.71428571428571,15.214285714285714,230.21428571428572,170.42857142857142,5,96,79,7,78,21,76
P-STP,tawa,326.7,67,99.3,174.5,15.7,35.5,260,91,70,73,18,78,5,99
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.9375,322.5,90.1875,37,31,31,30,34,61,34
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.9375,322.5,83.57142857142858,38,31,31,31,34,61,4
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.9375,322.2857142857143,90.1875,38,32,32,31,35,29,34
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.9375,322.2857142857143,83.57142857142858,39,32,32,32,35,29,4
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.857142857142857,322.5,90.1875,39,33,33,32,3,62,35
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.857142857142857,322.5,83.57142857142858,40,33,33,33,4,62,4
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.857142857142857,322.2857142857143,90.1875,40,34,34,33,4,30,35
P-TE1,tawa,140.5625,13.5625,1.25,221.125,1.857142857142857,322.2857142857143,83.57142857142858,41,34,34,34,4,30,5
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.9375,322.5,90.1875,41,35,35,63,36,63,36
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.9375,322.5,83.57142857142858,42,35,35,63,36,63,5
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.9375,322.2857142857143,90.1875,42,36,36,64,37,31,36
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.9375,322.2857142857143,83.57142857142858,43,36,36,64,37,31,5
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.857142857142857,322.5,90.1875,43,37,37,65,5,64,37
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.857142857142857,322.5,83.57142857142858,44,37,37,65,5,64,6
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.857142857142857,322.2857142857143,90.1875,44,38,38,66,5,32,37
P-TE1,tawa,140.5625,13.5625,1.25,226.85714285714283,1.857142857142857,322.2857142857143,83.57142857142858,45,38,38,66,6,32,6
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.9375,322.5,90.1875,45,39,2,34,38,65,38
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.9375,322.5,83.57142857142858,46,39,2,35,38,65,6
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.9375,322.2857142857143,90.1875,46,40,2,35,39,33,38
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.9375,322.2857142857143,83.57142857142858,47,40,3,36,39,33,7
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.857142857142857,322.5,90.1875,47,41,3,36,6,66,39
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.857142857142857,322.5,83.57142857142858,48,41,3,37,6,66,7
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.857142857142857,322.2857142857143,90.1875,48,42,4,37,7,34,39
P-TE1,tawa,140.5625,13.5625,1.142857142857143,221.125,1.857142857142857,322.2857142857143,83.57142857142858,49,42,4,38,7,34,7
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.9375,322.5,90.1875,49,43,4,67,40,67,40
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.9375,322.5,83.57142857142858,50,43,5,67,40,67,8
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.9375,322.2857142857143,90.1875,50,44,5,68,41,35,40
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.9375,322.2857142857143,83.57142857142858,51,44,5,68,41,35,8
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.857142857142857,322.5,90.1875,51,45,6,69,7,68,41
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.857142857142857,322.5,83.57142857142858,52,45,6,69,8,68,9
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.857142857142857,322.2857142857143,90.1875,52,46,6,70,8,36,41
P-TE1,tawa,140.5625,13.5625,1.142857142857143,226.85714285714283,1.857142857142857,322.2857142857143,83.57142857142858,53,46,7,70,9,36,9
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.9375,322.5,90.1875,53,1,39,38,42,69,42
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.9375,322.5,83.57142857142858,54,2,39,39,42,69,10
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.9375,322.2857142857143,90.1875,54,2,40,39,43,37,42
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.9375,322.2857142857143,83.57142857142858,55,2,40,40,43,37,10
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.857142857142857,322.5,90.1875,55,3,41,40,9,70,43
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.857142857142857,322.5,83.57142857142858,56,3,41,41,10,70,11
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.857142857142857,322.2857142857143,90.1875,56,3,42,41,10,38,43
P-TE1,tawa,140.5625,12.571428571428573,1.25,221.125,1.857142857142857,322.2857142857143,83.57142857142858,57,4,42,42,11,38,11
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.9375,322.5,90.1875,57,4,43,71,44,71,44
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.9375,322.5,83.57142857142858,58,4,43,71,44,71,12
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.9375,322.2857142857143,90.1875,58,5,44,72,45,39,44
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.9375,322.2857142857143,83.57142857142858,59,5,44,72,45,39,12
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.857142857142857,322.5,90.1875,59,5,45,73,11,72,45
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.857142857142857,322.5,83.57142857142858,60,6,45,73,12,72,13
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.857142857142857,322.2857142857143,90.1875,60,6,46,74,12,40,45
P-TE1,tawa,140.5625,12.571428571428573,1.25,226.85714285714283,1.857142857142857,322.2857142857143,83.57142857142858,61,6,46,74,13,40,13
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.9375,322.5,90.1875,61,7,7,42,46,73,46
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.9375,322.5,83.57142857142858,62,7,7,43,46,73,14
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.9375,322.2857142857143,90.1875,62,7,8,43,47,41,46
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.9375,322.2857142857143,83.57142857142858,63,8,8,44,47,41,14
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.857142857142857,322.5,90.1875,63,8,9,44,13,74,47
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.857142857142857,322.5,83.57142857142858,64,9,9,45,14,74,15
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.857142857142857,322.2857142857143,90.1875,64,9,10,45,14,42,47
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,221.125,1.857142857142857,322.2857142857143,83.57142857142858,65,10,10,46,15,42,15
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.9375,322.5,90.1875,65,10,11,75,48,75,48
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.9375,322.5,83.57142857142858,66,11,11,75,48,75,16
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.9375,322.2857142857143,90.1875,66,11,12,76,49,43,48
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.9375,322.2857142857143,83.57142857142858,67,12,12,76,49,43,16
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.857142857142857,322.5,90.1875,67,12,13,77,15,76,49
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.857142857142857,322.5,83.57142857142858,68,13,13,77,16,76,17
P-TE1,tawa,140.5625,12.571428571428573,1.142857142857143,226.85714285714283,1.857142857142857,322.2857142857143,90.1875,68,13,14,78,16,44,49
