"","city","site","units_lead","pm2.5_count","avg_ptsdf","prox_heavy_traffic","avg_pnpl","avg_rsei","avg_pwdis","diesel_tons_km2","avg_prmp","avg_ozone","SEWA_LEAD_PCT","SEWA_PM25_PCT","SEWA_PTSDF_PCT","SEWA_TRAFFIC_PCT","SEWA_PNPL_PCT","SEWA_TOXIC_PCT","SEWA_PWDIS_PCT","SEWA_OZONE_PCT","SEWA_DIESEL_PCT","SEWA_PRMP_PCT","SEWA_EXPOSURE","SEWA_RISK","SEWA_BURDEN","SEWA_BURDEN_SCALED","SEWA_BURDEN_PERCENTILE"
"1","sewa","BGP1",1216.28515625,0.449933677911758,3.222980260849,103760.0078125,0.0901646688580513,6233.92236328125,2.00530939764576e-05,7.49799251556396,0.147402912378311,47.1617393493652,33,19,14,15,13,18,12,5,12,7,13.5,8.375,14.5833333333333,5.05780346820809,14
"2","sewa","BRF1",404.630401611328,0.448966652154922,5.27032279968262,234674.75,0.331727117300034,10776.34375,0.0540226623415947,22.1714859008789,1.23164892196655,51.1714897155762,17,17,19,30,24,23,29,19,23,24,20.5,10.5,20.6666666666667,7.16763005780347,23
"3","sewa","DOS1",140.527191162109,0.372566968202591,0.0799999982118607,16832.884765625,0.0300590991973877,1092.77941894531,NA,0.752304911613464,0.100000001490116,53.7619857788086,8,1,2,1,1,1,NA,29,1,1,8,1.5,6.33333333333333,2.19653179190751,1
"4","sewa","DRP2",911.598510742188,0.466822147369385,13.446385383606,122068.125,0.151335477828979,8737.9150390625,4.98075678478926e-05,28.1381950378418,0.948038101196289,47.9612007141113,31,25,30,16,20,20,18,8,28,19,20.25,12.5,21.8333333333333,7.57225433526012,25
"5","sewa","DSP1",1013.68402099609,0.43645179271698,5.77377843856812,43595.5703125,0.121693804860115,10111.7255859375,3.30266593664419e-05,9.79586124420166,1.18407166004181,50.5200805664062,32,14,21,7,17,22,15,17,14,23,16.75,11.625,18.9166666666667,6.5606936416185,22
"6","sewa","DWP1",383.815063476562,0.590599179267883,17.1782054901123,203994.34375,0.449401527643204,14441.2890625,0.00227422104217112,27.6312503814697,2.80875825881958,50.1496849060059,16,27,33,25,28,25,26,13,27,31,23,13.5,24.3333333333333,8.4393063583815,27
"7","sewa","FGL1",414.876281738281,0.457268536090851,5.4626784324646,244781.21875,0.375022143125534,11932.498046875,0.027448171749711,21.7037334442139,1.10559916496277,50.936710357666,19,22,20,32,25,24,28,18,22,21,21.5,10.625,21.4166666666667,7.42774566473989,24
"8","sewa","FRD1",130.527221679688,0.401117503643036,0.116962738335133,22016.70703125,0.0361604541540146,1179.60620117188,NA,1.36604571342468,0.100000001490116,52.759220123291,7,6,4,2,2,2,NA,28,3,2,9.75,1.875,7.75,2.6878612716763,2
"9","sewa","HCN1",378.768341064453,0.590599179267883,10.3587408065796,216355.859375,0.611116945743561,15795.01953125,0.0035276566632092,16.4953022003174,1.39366972446442,50.2934112548828,15,28,26,29,30,26,27,15,19,26,22,12.125,22.75,7.89017341040462,26
"10","sewa","HFW1",161.760589599609,0.454377353191376,1.64166378974915,211000,0.0540319159626961,5487.25439453125,1.45321491800132e-05,10.6546955108643,0.238535284996033,48.6684150695801,10,21,11,28,7,15,9,9,15,9,15,4.625,13.0833333333333,4.53757225433526,11
"11","sewa","IRP1",502.174499511719,0.450740844011307,1.02703893184662,85297.265625,0.0732424408197403,3786.73120117188,3.76666466763709e-05,4.51454877853394,0.135660201311111,47.1795845031738,23,20,8,12,11,11,17,7,8,6,11.5,6,11.6666666666667,4.04624277456647,9
"12","sewa","JBP1",435.225891113281,0.436911106109619,1.74630010128021,209990.46875,0.0599999986588955,18145.111328125,3.04511631838977e-05,8.50245666503906,0.284368067979813,49.5427093505859,20,15,12,27,9,27,13,11,13,12,16.5,6.625,15.4166666666667,5.34682080924855,16
"13","sewa","LTP1",714.459106445312,0.433680832386017,6.94327354431152,49303.7421875,0.126274555921555,9034.18359375,3.15569777740166e-05,15.78759765625,1.23337316513062,50.2606964111328,27,13,22,8,18,21,14,14,18,25,16.5,11.5,18.6666666666667,6.47398843930636,20
"14","sewa","LWP2",829.928588867188,0.45876532793045,8.62626552581787,161416.890625,0.104161031544209,5886.00048828125,1.68681781360647e-05,29.9912567138672,0.510938048362732,46.7134284973145,29,24,24,22,16,16,10,2,29,15,17.75,10.5,18.8333333333333,6.53179190751445,21
"15","sewa","MBC1",57.0319900512695,0.408764898777008,1.44235730171204,55519.69140625,0.0438195280730724,1823.87622070312,7.25309178051248e-07,4.6410698890686,0.36768639087677,52.3770713806152,3,8,10,9,5,6,5,25,9,13,12,3.875,10.5833333333333,3.67052023121387,6
