"YearGroup","County","Emissions","Rank"
"2014","State Total","10.78","7"
"2014","53001950100","1.74","2"
"2014","53001950200","0.81","1"
"2014","53001950300","1.35","2"
"2014","53001950400","1.01","1"
"2014","53001950500","1.35","2"
"2014","53003960100","0.55","1"
"2014","53003960200","1.69","2"
"2014","53003960300","1.69","2"
"2014","53003960400","1.69","2"
"2014","53003960500","1.69","2"
"2014","53003960600","1.69","2"
"2014","53005010100","5.78","5"
"2014","53005010201","2.69","3"
"2014","53005010202","2.69","3"
"2014","53005010300","5.78","5"
"2014","53005010400","5.78","5"
"2014","53005010500","5.78","5"
"2014","53005010600","5.78","5"
"2014","53005010701","1.53","2"
"2014","53005010703","1.47","2"
"2014","53005010705","2.41","3"
"2014","53005010707","2.41","3"
"2014","53005010708","2.41","3"
"2014","53005010803","5.78","5"
"2014","53005010805","5.78","5"
"2014","53005010807","2.41","3"
"2014","53005010809","5.49","5"
"2014","53005010810","5.49","5"
"2014","53005010811","2.69","3"
"2014","53005010813","5.37","5"
"2014","53005010814","2.98","3"
"2014","53005010901","5.49","5"
"2014","53005010902","5.49","5"
"2014","53005011001","7.83","6"
"2014","53005011002","5.37","5"
"2014","53005011100","7.83","6"
"2014","53005011200","7.83","6"
"2014","53005011300","7.83","6"
"2014","53005011401","4.85","4"
"2014","53005011402","4.85","4"
"2014","53005011501","7.83","6"
"2014","53005011503","5.37","5"
"2014","53005011504","4.85","4"
"2014","53005011600","1.82","2"
"2014","53005011700","2.03","2"
"2014","53005011800","2.03","2"
"2014","53005011900","1.38","2"
"2014","53005012000","0.71","1"
"2014","53007960100","0.6","1"
"2014","53007960200","1.03","1"
"2014","53007960300","0.84","1"
"2014","53007960400","0.67","1"
"2014","53007960500","1.89","2"
"2014","53007960600","1.89","2"
"2014","53007960700","2.18","2"
"2014","53007960801","5.49","5"
"2014","53007960802","5.49","5"
"2014","53007961000","5.49","5"
"2014","53007961100","5.49","5"
"2014","53007961200","4.37","4"
"2014","53007961301","1.93","2"
"2014","53007961302","5.49","5"
"2014","53009000200","0.15","1"
"2014","53009000300","0.65","1"
"2014","53009000400","0.65","1"
"2014","53009000600","0.36","1"
"2014","53009000700","23.67","10"
"2014","53009000800","23.67","10"
"2014","53009000900","23.67","10"
"2014","53009001000","23.67","10"
"2014","53009001100","23.67","10"
"2014","53009001200","23.67","10"
"2014","53009001300","1.43","2"
"2014","53009001400","1.43","2"
"2014","53009001500","23.67","10"
"2014","53009001600","1.53","2"
"2014","53009001700","1.53","2"
"2014","53009001800","1.53","2"
"2014","53009001900","1.53","2"
"2014","53009002000","1.49","2"
"2014","53009002100","1.49","2"
"2014","53009002300","1.53","2"
"2014","53009940000","0.08","1"
"2014","53009990100","23.67","10"
"2014","53011040101","0.56","1"
"2014","53011040102","0.63","1"
"2014","53011040201","6","5"
"2014","53011040202","1.02","1"
"2014","53011040203","4.3","4"
"2014","53011040301","4.36","4"
"2014","53011040302","4.36","4"
"2014","53011040403","5.98","5"
"2014","53011040407","4.3","4"
"2014","53011040408","2.46","3"
"2014","53011040409","10.7","7"
"2014","53011040411","10.7","7"
"2014","53011040412","10.7","7"
"2014","53011040413","4.3","4"
"2014","53011040414","4.3","4"
"2014","53011040415","4.3","4"
"2014","53011040416","4.3","4"
"2014","53011040504","1.14","1"
"2014","53011040505","1.18","1"
"2014","53011040507","3.28","3"
"2014","53011040508","3.28","3"
"2014","53011040509","3.29","3"
"2014","53011040510","1.43","2"
"2014","53011040511","0.44","1"
"2014","53011040603","3.04","3"
"2014","53011040604","8.74","6"
"2014","53011040605","3.66","3"
"2014","53011040608","9.22","6"
"2014","53011040609","3.66","3"
"2014","53011040610","3.66","3"
"2014","53011040703","9.48","6"
"2014","53011040706","8.74","6"
"2014","53011040707","8.74","6"
"2014","53011040709","8.74","6"
"2014","53011040710","8.74","6"
"2014","53011040711","8.74","6"
"2014","53011040712","8.74","6"
"2014","53011040803","10.7","7"
"2014","53011040805","10.7","7"
"2014","53011040806","9.48","6"
"2014","53011040808","9.48","6"
"2014","53011040809","11.54","7"
"2014","53011040810","11.54","7"
"2014","53011040904","10.7","7"
"2014","53011040905","5.98","5"
"2014","53011040907","3.84","3"
"2014","53011040908","10.7","7"
"2014","53011040909","10.7","7"
"2014","53011040910","10.7","7"
"2014","53011041003","13.65","8"
"2014","53011041005","5.44","5"
"2014","53011041007","11.54","7"
"2014","53011041008","11.54","7"
"2014","53011041009","11.54","7"
"2014","53011041010","11.54","7"
"2014","53011041011","13.65","8"
"2014","53011041104","9.48","6"
"2014","53011041105","11.54","7"
"2014","53011041107","9.48","6"
"2014","53011041108","11.27","7"
