County Name,Census_Tract,# Units w/ Lead Hazard (Estimated),# Total Housing Units,% Units w/ Lead Hazard (Estimated),IBL Ranking
n/a,State Total,441881,3106528,14.22,7
Adams,53001950100,440,1164,37.76,10
Adams,53001950200,297,791,37.61,10
Adams,53001950300,111,1827,6.09,3
Adams,53001950400,174,1045,16.7,7
Adams,53001950500,269,1781,15.13,7
Asotin,53003960100,253,2003,12.61,6
Asotin,53003960200,168,2144,7.82,4
Asotin,53003960300,483,1660,29.11,9
Asotin,53003960400,272,1034,26.27,9
Asotin,53003960500,510,1644,31.02,9
Asotin,53003960600,169,1558,10.85,5
Benton,53005010100,376,1905,19.74,8
Benton,53005010201,204,2173,9.38,5
Benton,53005010202,408,3190,12.78,6
Benton,53005010300,656,2426,27.02,9
Benton,53005010400,582,1564,37.23,10
Benton,53005010500,414,1169,35.4,10
Benton,53005010600,469,1863,25.18,9
Benton,53005010701,13,877,1.43,1
Benton,53005010703,131,1188,10.99,5
Benton,53005010705,54,1826,2.96,1
Benton,53005010707,21,1082,1.96,1
Benton,53005010708,91,1377,6.59,3
Benton,53005010803,52,3492,1.49,1
Benton,53005010805,59,2934,2,1
Benton,53005010807,2,508,0.36,1
Benton,53005010809,59,2794,2.11,1
Benton,53005010810,53,2265,2.36,1
Benton,53005010811,23,1566,1.44,1
Benton,53005010813,99,5296,1.87,1
Benton,53005010814,18,1506,1.18,1
Benton,53005010901,389,2645,14.69,7
Benton,53005010902,207,1876,11.03,5
Benton,53005011001,267,2253,11.86,6
Benton,53005011002,293,2048,14.31,7
Benton,53005011100,490,2823,17.35,7
Benton,53005011200,585,2860,20.45,8
Benton,53005011300,610,1785,34.2,10
Benton,53005011401,241,1419,16.95,7
Benton,53005011402,289,1954,14.78,7
Benton,53005011501,262,2489,10.52,5
Benton,53005011503,111,4009,2.76,1
Benton,53005011504,39,1024,3.82,2
Benton,53005011600,35,373,9.49,5
Benton,53005011700,633,3066,20.65,8
Benton,53005011800,465,2273,20.45,8
Benton,53005011900,288,2343,12.27,6
Chelan,53007960100,252,1437,17.55,7
Chelan,53007960200,525,6012,8.74,5
Chelan,53007960300,755,4589,16.46,7
Chelan,53007960400,347,2646,13.12,6
