YearGroup,Average Ozone Concentration ppm km2,Census_Tract,IBL Rank
2014-2017,53.42110219,State Total,5
2014-2017,59.10282898,53001950100,10
2014-2017,60.58847046,53001950200,10
2014-2017,60.18209076,53001950300,10
2014-2017,60.18209076,53001950400,10
2014-2017,60.18209076,53001950500,10
2014-2017,53.15264893,53003960100,5
2014-2017,52.19351959,53003960200,4
2014-2017,52.19351959,53003960300,4
2014-2017,52.19351959,53003960400,4
2014-2017,52.19351959,53003960500,4
2014-2017,52.19351959,53003960600,4
2014-2017,64.94133759,53005010100,10
2014-2017,64.94133759,53005010201,10
2014-2017,64.94133759,53005010202,10
2014-2017,64.94133759,53005010300,10
2014-2017,64.94133759,53005010400,10
2014-2017,64.94133759,53005010500,10
2014-2017,64.93625641,53005010600,10
2014-2017,64.91091156,53005010701,10
2014-2017,65.23911285,53005010703,10
2014-2017,65.50554657,53005010705,10
2014-2017,65.50554657,53005010707,10
2014-2017,65.50554657,53005010708,10
2014-2017,64.93625641,53005010803,10
2014-2017,64.93625641,53005010805,10
2014-2017,65.50554657,53005010807,10
2014-2017,65.56069183,53005010809,10
2014-2017,65.86456299,53005010810,10
2014-2017,65.86456299,53005010811,10
2014-2017,65.75039673,53005010813,10
2014-2017,68.15625,53005010814,10
2014-2017,65.56069183,53005010901,10
2014-2017,65.75039673,53005010902,10
2014-2017,65.13583374,53005011001,10
2014-2017,65.75039673,53005011002,10
2014-2017,65.21180725,53005011100,10
2014-2017,65.21180725,53005011200,10
2014-2017,65.21180725,53005011300,10
2014-2017,65.21180725,53005011401,10
2014-2017,65.21180725,53005011402,10
2014-2017,65.21180725,53005011501,10
2014-2017,65.21180725,53005011503,10
2014-2017,65.21180725,53005011504,10
2014-2017,66.68382263,53005011600,10
2014-2017,63.48273849,53005011700,10
2014-2017,63.48273849,53005011800,10
2014-2017,64.91091156,53005011900,10
2014-2017,65.06581116,53005012000,10
2014-2017,56.78295898,53007960100,8
2014-2017,56.36536026,53007960200,8
2014-2017,56.73522186,53007960300,8
2014-2017,56.46546936,53007960400,8
2014-2017,56.10388947,53007960500,8
2014-2017,56.10388947,53007960600,8
2014-2017,56.29296875,53007960700,8
2014-2017,56.16344833,53007960801,8
2014-2017,56.16344833,53007960802,8
2014-2017,56.16344833,53007961000,8
2014-2017,56.16344833,53007961100,8
2014-2017,55.73857117,53007961200,8
2014-2017,56.88444901,53007961301,9
2014-2017,56.16344833,53007961302,8
2014-2017,48.80385971,53009000200,2
2014-2017,50.81626129,53009000300,3
2014-2017,50.81626129,53009000400,3
2014-2017,48.35654068,53009000600,2
2014-2017,44.81621933,53009000700,1
2014-2017,44.81621933,53009000800,1
2014-2017,44.81621933,53009000900,1
2014-2017,44.81621933,53009001000,1
2014-2017,44.81621933,53009001100,1
2014-2017,44.81621933,53009001200,1
2014-2017,46.30981064,53009001300,1
