County Name,Census_Tract,Average PTSDF,IBL Rank
n/a,State Total,2.1,8
Adams,53001950100,0.02,1
Adams,53001950200,0.03,1
Adams,53001950300,0.1,2
Adams,53001950400,0.1,2
Adams,53001950500,0.1,2
Asotin,53003960100,0.68,5
Asotin,53003960200,0.87,6
Asotin,53003960300,1.14,6
Asotin,53003960400,0.72,5
Asotin,53003960500,1.96,7
Asotin,53003960600,1.63,7
Benton,53005010100,1.51,7
Benton,53005010201,1.33,6
Benton,53005010202,1.55,7
Benton,53005010300,1.37,6
Benton,53005010400,1.17,6
Benton,53005010500,1.02,6
Benton,53005010600,1.69,7
Benton,53005010701,0.1,2
Benton,53005010703,0.21,3
Benton,53005010705,0.44,4
Benton,53005010707,0.25,4
Benton,53005010708,0.39,4
Benton,53005010803,0.82,5
Benton,53005010805,0.71,5
Benton,53005010807,0.21,3
Benton,53005010809,0.74,5
Benton,53005010810,0.38,4
Benton,53005010811,0.33,4
Benton,53005010813,0.66,5
Benton,53005010814,0.13,2
Benton,53005010901,1.29,6
Benton,53005010902,1.06,6
Benton,53005011001,2.17,8
Benton,53005011002,1.66,7
Benton,53005011100,2.05,7
Benton,53005011200,1.25,6
Benton,53005011300,0.7,5
Benton,53005011401,0.68,5
Benton,53005011402,0.44,4
Benton,53005011501,0.71,5
Benton,53005011503,0.56,5
Benton,53005011504,0.24,3
Benton,53005011600,0.07,2
Benton,53005011700,0.17,3
Benton,53005011800,0.24,3
Benton,53005011900,0.07,2
Benton,53005012000,0.61,5
Chelan,53007960100,0.09,2
Chelan,53007960200,0.03,1
Chelan,53007960300,0.07,2
Chelan,53007960400,0.07,2
Chelan,53007960500,0.08,2
Chelan,53007960600,0.09,2
Chelan,53007960700,1.36,6
Chelan,53007960801,1.01,6
Chelan,53007960802,2.18,8
Chelan,53007961000,0.68,5
Chelan,53007961100,0.27,4
Chelan,53007961200,0.16,3
Chelan,53007961301,0.3,4
Chelan,53007961302,0.68,5
Clallam,53009000200,0.01,1
Clallam,53009000300,0.01,1
Clallam,53009000400,0.01,1
Clallam,53009000600,0.03,1
Clallam,53009000700,0.04,1
Clallam,53009000800,0.05,1
Clallam,53009000900,0.05,1
Clallam,53009001000,0.05,1
Clallam,53009001100,0.05,1
Clallam,53009001200,0.05,1
Clallam,53009001300,0.07,1
Clallam,53009001400,0.08,2
Clallam,53009001500,0.04,1
Clallam,53009001600,0.21,3
Clallam,53009001700,0.54,5
Clallam,53009001800,0.23,3
Clallam,53009001900,0.3,4
Clallam,53009002000,0.3,4
Clallam,53009002100,0.31,4
Clallam,53009002300,0.2,3
Clallam,53009940000,0.01,1
Clallam,53009990100,0,1
Clark,53011040101,0.04,1
Clark,53011040102,0.05,1
Clark,53011040201,0.35,4
Clark,53011040202,0.08,2
Clark,53011040203,0.11,2
Clark,53011040301,0.26,4
Clark,53011040302,0.33,4
Clark,53011040403,0.2,3
Clark,53011040407,0.09,2
Clark,53011040408,0.11,2
Clark,53011040409,0.15,3
Clark,53011040411,0.23,3
Clark,53011040412,0.18,3
Clark,53011040413,0.1,2
Clark,53011040414,0.1,2
Clark,53011040415,0.08,2
Clark,53011040416,0.08,2
Clark,53011040504,0.06,1
Clark,53011040505,0.09,2
Clark,53011040507,1.38,6
Clark,53011040508,1.04,6
Clark,53011040509,1.75,7
Clark,53011040510,0.5,5
Clark,53011040511,0.1,2
Clark,53011040603,0.14,2
Clark,53011040604,0.38,4
Clark,53011040605,0.82,5
Clark,53011040608,2.31,8
Clark,53011040609,2.72,8
Clark,53011040610,1.54,7
Clark,53011040703,1.69,7
Clark,53011040706,1.32,6
Clark,53011040707,0.79,5
Clark,53011040709,0.35,4
Clark,53011040710,0.2,3
Clark,53011040711,0.62,5
Clark,53011040712,0.4,4
Clark,53011040803,0.84,5
Clark,53011040805,0.35,4
Clark,53011040806,1.01,6
Clark,53011040808,1.04,6
Clark,53011040809,1.21,6
Clark,53011040810,1.39,6
Clark,53011040904,0.85,6
Clark,53011040905,0.18,3
Clark,53011040907,0.22,3
Clark,53011040908,0.47,4
Clark,53011040909,0.28,4
Clark,53011040910,0.21,3
Clark,53011041003,2.17,8
Clark,53011041005,4,9
Clark,53011041007,1.83,7
Clark,53011041008,0.88,6
Clark,53011041009,2.59,8
Clark,53011041010,2.06,7
Clark,53011041011,3.27,9
Clark,53011041104,2.24,8
Clark,53011041105,2.89,8
Clark,53011041107,2.15,8
Clark,53011041108,2.82,8
Clark,53011041110,2.88,8
Clark,53011041111,4.2,9
Clark,53011041112,3.43,9
Clark,53011041201,1.53,7
Clark,53011041203,2.76,8
Clark,53011041205,2.65,8
Clark,53011041206,1.62,7
Clark,53011041309,1.85,7
Clark,53011041310,2.87,8
Clark,53011041312,2.07,7
Clark,53011041313,2.71,8
Clark,53011041317,1.68,7
Clark,53011041318,1.45,7
Clark,53011041319,1.63,7
Clark,53011041320,3.48,9
Clark,53011041321,2.53,8
Clark,53011041322,1.43,7
Clark,53011041323,3.19,9
Clark,53011041325,4.61,9
Clark,53011041326,0.83,5
Clark,53011041327,1.13,6
Clark,53011041328,3.96,9
Clark,53011041329,3.5,9
Clark,53011041330,1.87,7
Clark,53011041331,2.94,8
Clark,53011041332,1.18,6
Clark,53011041333,1.1,6
Clark,53011041400,2.09,7
Clark,53011041500,1.96,7
Clark,53011041600,3.29,9
Clark,53011041700,3.66,9
Clark,53011041800,3.84,9
Clark,53011041900,3.96,9
Clark,53011042000,2.84,8
Clark,53011042100,4.18,9
Clark,53011042300,5.97,10
Clark,53011042400,6.77,10
Clark,53011042500,4.56,9
Clark,53011042600,5.04,9
Clark,53011042700,3.87,9
Clark,53011042800,4.57,9
Clark,53011042900,3.08,8
Clark,53011043000,2.67,8
Clark,53011043100,2.45,8
Columbia,53013960200,0.03,1
Cowlitz,53015000300,2.12,8
Cowlitz,53015000400,1.98,7
Cowlitz,53015000501,2.17,8
Cowlitz,53015000502,2.28,8
Cowlitz,53015000601,1.76,7
Cowlitz,53015000602,1.72,7
Cowlitz,53015000702,1.19,6
Cowlitz,53015000703,0.57,5
Cowlitz,53015000704,0.8,5
Cowlitz,53015000800,0.81,5
Cowlitz,53015000900,0.27,4
Cowlitz,53015001000,2.01,7
Cowlitz,53015001100,3.31,9
Cowlitz,53015001200,1.62,7
Cowlitz,53015001300,0.94,6
Cowlitz,53015001501,0.08,2
Cowlitz,53015001502,1.97,7
Cowlitz,53015001600,0.79,5
Cowlitz,53015001700,0.18,3
Cowlitz,53015001800,0.04,1
