County Name,Census_Tract,Proximity to Heavy Traffic Roadways,IBL Rank
n/a,State Total,80463.96,7
Adams,53001950100,20000,2
Adams,53001950200,12000,1
Adams,53001950300,9000,1
Adams,53001950400,7211.92,1
Adams,53001950500,9000,1
Asotin,53003960100,7600,1
Asotin,53003960200,11205.41,1
Asotin,53003960300,25000,3
Asotin,53003960400,16937.48,2
Asotin,53003960500,25000,3
Asotin,53003960600,12385.8,1
Benton,53005010100,44042.75,4
Benton,53005010201,38000,4
Benton,53005010202,31000,3
Benton,53005010300,68695.07,6
Benton,53005010400,51264.92,5
Benton,53005010500,42766.48,4
Benton,53005010600,80000,7
Benton,53005010701,26000,3
Benton,53005010703,18000,2
Benton,53005010705,44775.27,5
Benton,53005010707,21716.79,2
Benton,53005010708,28092.7,3
Benton,53005010803,70542.14,6
Benton,53005010805,80000,7
Benton,53005010807,26000,3
Benton,53005010809,80000,7
Benton,53005010810,57000,5
Benton,53005010811,29941.89,3
Benton,53005010813,24268.22,3
Benton,53005010814,22000,2
Benton,53005010901,57000,5
Benton,53005010902,31359.7,4
Benton,53005011001,66000,6
Benton,53005011002,49000,5
Benton,53005011100,66000,6
Benton,53005011200,66000,6
Benton,53005011300,66000,6
Benton,53005011401,26885.72,3
Benton,53005011402,20314.01,2
Benton,53005011501,25284.63,3
Benton,53005011503,32000,4
Benton,53005011504,13918.39,1
Benton,53005011600,22000,2
Benton,53005011700,24000,3
Benton,53005011800,26000,3
Benton,53005011900,26000,3
Benton,53005012000,8068.67,1
Chelan,53007960100,7200,1
Chelan,53007960200,15000,2
Chelan,53007960300,12000,1
Chelan,53007960400,7600,1
Chelan,53007960500,24000,3
Chelan,53007960600,24000,3
Chelan,53007960700,40000,4
Chelan,53007960801,40000,4
Chelan,53007960802,40000,4
Chelan,53007961000,56000,5
Chelan,53007961100,56000,5
Chelan,53007961200,25115.36,3
Chelan,53007961301,28932.86,3
Chelan,53007961302,31000,3
Clallam,53009000200,2300,1
Clallam,53009000300,7300,1
Clallam,53009000400,6400,1
Clallam,53009000600,8503.01,1
Clallam,53009000700,16000,2
Clallam,53009000800,14000,1
Clallam,53009000900,16000,2
Clallam,53009001000,23997.58,3
Clallam,53009001100,19207.47,2
Clallam,53009001200,34000,4
Clallam,53009001300,34000,4
Clallam,53009001400,30885.51,3
Clallam,53009001500,14000,1
Clallam,53009001600,22000,2
Clallam,53009001700,28000,3
Clallam,53009001800,28000,3
Clallam,53009001900,28000,3
Clallam,53009002000,28000,3
Clallam,53009002100,19000,2
Clallam,53009002300,28000,3
Clallam,53009940000,1451.69,1
Clallam,53009990100,34000,4
Clark,53011040101,7200,1
Clark,53011040102,12000,1
Clark,53011040201,83000,7
Clark,53011040202,22151.54,2
Clark,53011040203,40251.73,4
Clark,53011040301,106000,8
Clark,53011040302,114000,8
Clark,53011040403,126000,8
Clark,53011040407,28000,3
Clark,53011040408,32000,4
Clark,53011040409,105221.3,8
Clark,53011040411,126000,8
Clark,53011040412,126000,8
Clark,53011040413,28000,3
Clark,53011040414,28000,3
Clark,53011040415,28000,3
Clark,53011040416,18117.33,2
Clark,53011040504,10750.42,1
Clark,53011040505,14807.45,1
Clark,53011040507,27000,3
Clark,53011040508,27000,3
Clark,53011040509,27000,3
Clark,53011040510,27000,3
Clark,53011040511,12126.83,1
Clark,53011040603,20000,2
Clark,53011040604,29308.23,3
Clark,53011040605,30787.9,3
Clark,53011040608,27988.78,3
Clark,53011040609,47000,5
Clark,53011040610,25146.41,3
Clark,53011040703,89000,7
Clark,53011040706,66000,6
