County Name,Census Tract,Average PNPL,IBL Rank
n/a,State Total,0.19,8
Adams,53001950100,0.01,1
Adams,53001950200,0.02,1
Adams,53001950300,0.04,3
Adams,53001950400,0.04,3
Adams,53001950500,0.04,3
Asotin,53003960100,0.01,1
Asotin,53003960200,0.01,1
Asotin,53003960300,0.01,1
Asotin,53003960400,0.01,1
Asotin,53003960500,0.01,1
Asotin,53003960600,0.01,1
Benton,53005010100,0.16,7
Benton,53005010201,0.14,7
Benton,53005010202,0.14,7
Benton,53005010300,0.09,5
Benton,53005010400,0.1,6
Benton,53005010500,0.11,6
Benton,53005010600,0.09,5
Benton,53005010701,0.06,4
Benton,53005010703,0.1,6
Benton,53005010705,0.08,5
Benton,53005010707,0.08,5
Benton,53005010708,0.1,6
Benton,53005010803,0.07,4
Benton,53005010805,0.07,4
Benton,53005010807,0.06,4
Benton,53005010809,0.07,4
Benton,53005010810,0.06,4
Benton,53005010811,0.06,4
Benton,53005010813,0.07,5
Benton,53005010814,0.05,4
Benton,53005010901,0.08,5
Benton,53005010902,0.08,5
Benton,53005011001,0.1,6
Benton,53005011002,0.09,5
Benton,53005011100,0.1,6
Benton,53005011200,0.11,6
Benton,53005011300,0.13,7
Benton,53005011401,0.11,6
Benton,53005011402,0.1,6
Benton,53005011501,0.11,6
Benton,53005011503,0.08,5
Benton,53005011504,0.09,5
Benton,53005011600,0.05,4
Benton,53005011700,0.02,2
Benton,53005011800,0.03,2
Benton,53005011900,0.05,4
Benton,53005012000,3.54,10
Chelan,53007960100,0.01,1
Chelan,53007960200,0.01,1
Chelan,53007960300,0.01,1
Chelan,53007960400,0.01,1
Chelan,53007960500,0.01,1
Chelan,53007960600,0.01,1
Chelan,53007960700,0.01,1
Chelan,53007960801,0.01,1
Chelan,53007960802,0.01,1
Chelan,53007961000,0.01,1
Chelan,53007961100,0.01,1
Chelan,53007961200,0.01,1
Chelan,53007961301,0.01,1
Chelan,53007961302,0.01,1
Clallam,53009000200,0.03,3
Clallam,53009000300,0.02,1
Clallam,53009000400,0.02,2
Clallam,53009000600,0.01,1
Clallam,53009000700,0.02,1
Clallam,53009000800,0.02,1
Clallam,53009000900,0.02,1
Clallam,53009001000,0.02,1
Clallam,53009001100,0.02,1
Clallam,53009001200,0.02,1
Clallam,53009001300,0.02,1
Clallam,53009001400,0.02,1
Clallam,53009001500,0.01,1
Clallam,53009001600,0.02,2
Clallam,53009001700,0.02,2
Clallam,53009001800,0.02,1
Clallam,53009001900,0.02,2
Clallam,53009002000,0.02,2
Clallam,53009002100,0.02,2
Clallam,53009002300,0.02,2
Clallam,53009940000,0.24,9
Clallam,53009990100,0,1
Clark,53011040101,0.03,3
Clark,53011040102,0.04,3
Clark,53011040201,0.04,3
Clark,53011040202,0.04,3
Clark,53011040203,0.05,4
Clark,53011040301,0.05,4
Clark,53011040302,0.06,4
Clark,53011040403,0.08,5
Clark,53011040407,0.08,5
Clark,53011040408,0.1,6
Clark,53011040409,0.14,7
Clark,53011040411,0.19,8
Clark,53011040412,0.15,7
Clark,53011040413,0.09,5
Clark,53011040414,0.08,5
Clark,53011040415,0.07,5
Clark,53011040416,0.06,4
Clark,53011040504,0.05,4
Clark,53011040505,0.07,4
Clark,53011040507,0.16,7
Clark,53011040508,0.16,7
Clark,53011040509,0.24,9
Clark,53011040510,0.14,7
Clark,53011040511,0.07,5
Clark,53011040603,0.08,5
Clark,53011040604,0.11,6
Clark,53011040605,0.18,8
Clark,53011040608,0.13,6
Clark,53011040609,0.18,8
Clark,53011040610,0.18,8
Clark,53011040703,0.22,8
Clark,53011040706,0.16,7
Clark,53011040707,0.14,7
Clark,53011040709,0.19,8
Clark,53011040710,0.12,6
Clark,53011040711,0.15,7
Clark,53011040712,0.12,6
Clark,53011040803,0.36,9
Clark,53011040805,0.29,9
Clark,53011040806,0.31,9
Clark,53011040808,0.72,10
Clark,53011040809,0.49,10
Clark,53011040810,0.63,10
Clark,53011040904,0.23,8
Clark,53011040905,0.1,6
Clark,53011040907,0.12,6
Clark,53011040908,0.16,7
Clark,53011040909,0.17,8
Clark,53011040910,0.15,7
