County_Name,Census_Tract,Average PRMP,IBL Rank
n/a,State Total,0.64,7
Adams,53001950100,1.2,9
Adams,53001950200,0.89,8
Adams,53001950300,0.66,7
Adams,53001950400,3.73,10
Adams,53001950500,1.84,10
Asotin,53003960100,0.19,5
Asotin,53003960200,0.49,7
Asotin,53003960300,1.58,9
Asotin,53003960400,0.94,8
Asotin,53003960500,1.46,9
Asotin,53003960600,0.87,8
Benton,53005010100,3.36,10
Benton,53005010201,2.58,10
Benton,53005010202,3.12,10
Benton,53005010300,1.08,9
Benton,53005010400,1.37,9
Benton,53005010500,1.64,10
Benton,53005010600,1.16,9
Benton,53005010701,0.09,2
Benton,53005010703,0.37,6
Benton,53005010705,0.25,6
Benton,53005010707,0.16,4
Benton,53005010708,0.44,7
Benton,53005010803,0.33,6
Benton,53005010805,0.43,7
Benton,53005010807,0.12,3
Benton,53005010809,0.22,5
Benton,53005010810,0.22,5
Benton,53005010811,0.22,5
Benton,53005010813,0.34,6
Benton,53005010814,0.13,4
Benton,53005010901,0.26,6
Benton,53005010902,0.46,7
Benton,53005011001,0.78,8
Benton,53005011002,0.74,8
Benton,53005011100,1.19,9
Benton,53005011200,1.73,10
Benton,53005011300,3.2,10
Benton,53005011401,1.72,10
Benton,53005011402,0.95,8
Benton,53005011501,2.5,10
Benton,53005011503,0.49,7
Benton,53005011504,0.35,6
Benton,53005011600,0.56,7
Benton,53005011700,1.96,10
Benton,53005011800,0.71,8
Benton,53005011900,0.07,2
Benton,53005012000,0.47,7
Chelan,53007960100,0.07,2
Chelan,53007960200,0.15,4
Chelan,53007960300,1.38,9
Chelan,53007960400,0.07,2
Chelan,53007960500,0.41,7
Chelan,53007960600,1.15,9
Chelan,53007960700,2.22,10
Chelan,53007960801,2.06,10
Chelan,53007960802,3.63,10
Chelan,53007961000,2.59,10
Chelan,53007961100,1.69,10
Chelan,53007961200,0.23,5
Chelan,53007961301,1.1,9
Chelan,53007961302,1.69,10
Clallam,53009000200,0.01,1
Clallam,53009000300,0.01,1
Clallam,53009000400,0.01,1
Clallam,53009000600,0.02,1
Clallam,53009000700,0.02,1
Clallam,53009000800,0.02,1
Clallam,53009000900,0.02,1
Clallam,53009001000,0.02,1
Clallam,53009001100,0.02,1
Clallam,53009001200,0.02,1
Clallam,53009001300,0.02,1
Clallam,53009001400,0.03,1
Clallam,53009001500,0.02,1
Clallam,53009001600,0.03,1
Clallam,53009001700,0.04,1
Clallam,53009001800,0.04,1
Clallam,53009001900,0.04,1
Clallam,53009002000,0.05,1
Clallam,53009002100,0.05,1
Clallam,53009002300,0.07,2
Clallam,53009940000,0.01,1
Clallam,53009990100,0,1
Clark,53011040101,0.04,1
Clark,53011040102,0.04,1
Clark,53011040201,0.25,6
Clark,53011040202,0.07,2
Clark,53011040203,0.06,2
Clark,53011040301,0.14,4
Clark,53011040302,0.14,4
Clark,53011040403,0.07,2
