County Name,Census_Tract,Average RSEI Concentrations,IBL Rank
n/a,State Total,2852.29,8
Adams,53001950100,0.25,1
Adams,53001950200,0.85,1
Adams,53001950300,28.83,2
Adams,53001950400,14.84,1
Adams,53001950500,26.63,2
Asotin,53003960100,299.46,4
Asotin,53003960200,708.1,5
Asotin,53003960300,978.88,5
Asotin,53003960400,421.93,4
Asotin,53003960500,810.19,5
Asotin,53003960600,634.72,5
Benton,53005010100,61.91,2
Benton,53005010201,75.08,2
Benton,53005010202,75.63,2
Benton,53005010300,67.15,2
Benton,53005010400,42.54,2
Benton,53005010500,45.98,2
Benton,53005010600,75.14,2
Benton,53005010701,23.58,2
Benton,53005010703,22.7,2
Benton,53005010705,67.12,2
Benton,53005010707,43.65,2
Benton,53005010708,35.85,2
Benton,53005010803,147.25,3
Benton,53005010805,138.93,3
Benton,53005010807,19.92,2
Benton,53005010809,112.42,3
Benton,53005010810,116.95,3
Benton,53005010811,78.41,2
Benton,53005010813,350.13,4
Benton,53005010814,76.65,2
Benton,53005010901,192.5,3
Benton,53005010902,131.21,3
Benton,53005011001,155.47,3
Benton,53005011002,162.35,3
Benton,53005011100,314.38,4
Benton,53005011200,351.01,4
Benton,53005011300,251.87,3
Benton,53005011401,183.5,3
Benton,53005011402,244.49,3
Benton,53005011501,505.6,4
Benton,53005011503,393.04,4
Benton,53005011504,134.69,3
Benton,53005011600,22.15,2
Benton,53005011700,23.92,2
Benton,53005011800,21.74,2
Benton,53005011900,39.35,2
Benton,53005012000,0.2,1
Chelan,53007960100,0,1
Chelan,53007960200,0,1
Chelan,53007960300,0,1
Chelan,53007960400,0,1
Chelan,53007960500,0,1
Chelan,53007960600,0,1
Chelan,53007960700,0,1
Chelan,53007960801,0,1
Chelan,53007960802,0,1
Chelan,53007961000,0,1
Chelan,53007961100,0.01,1
Chelan,53007961200,0,1
Chelan,53007961301,0,1
Chelan,53007961302,0,1
Clallam,53009000200,0,1
Clallam,53009000400,0,1
Clallam,53009000600,0.75,1
Clallam,53009000700,11.02,1
Clallam,53009000800,6.22,1
Clallam,53009000900,6.39,1
Clallam,53009001000,11.35,1
Clallam,53009001100,9.15,1
Clallam,53009001200,14.13,1
Clallam,53009001300,10.58,1
Clallam,53009001400,14.36,1
Clallam,53009001500,1.88,1
Clallam,53009001600,16.51,1
Clallam,53009001700,31.16,2
Clallam,53009001800,7.99,1
Clallam,53009001900,51.36,2
Clallam,53009002000,26.72,2
Clallam,53009002100,13.31,1
Clallam,53009002300,22.68,2
Clallam,53009990100,13.31,1
Clark,53011040101,410.96,4
Clark,53011040102,307.86,4
Clark,53011040201,1170.36,6
Clark,53011040202,492.01,4
Clark,53011040203,667.92,5
Clark,53011040301,232.63,3
Clark,53011040302,1141.24,6
Clark,53011040403,643.37,5
Clark,53011040407,499.88,4
Clark,53011040408,1411.36,6
Clark,53011040409,640.38,5
Clark,53011040411,608.74,5
Clark,53011040412,1580.65,6
Clark,53011040413,399.47,4
Clark,53011040414,870.91,5
Clark,53011040415,301.43,4
Clark,53011040416,267.75,4
Clark,53011040504,478.51,4
Clark,53011040505,946.85,5
Clark,53011040507,866.82,5
Clark,53011040508,2825.26,8
Clark,53011040509,1086.48,5
Clark,53011040510,2303.09,7
Clark,53011040511,616.94,5
Clark,53011040603,1513.17,6
Clark,53011040604,2348.59,7
Clark,53011040605,2256.73,7
Clark,53011040608,2175.04,7
Clark,53011040609,2508.22,7
Clark,53011040610,1784.62,6
Clark,53011040703,3052.58,8
Clark,53011040706,1312.29,6
Clark,53011040707,1358.21,6
Clark,53011040709,2265.37,7
Clark,53011040710,1969.84,7
