Scat ID,Previous ID,Collected by,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter)
LC001,UCP-SK-001,SK,6/21/2022,6,BSW,Seattle,47.65266,-122.31744,100,A,Sunny,NA,NA,No
LC002,UCP-SK-002,SK,6/21/2022,6,BSW,Seattle,47.65266,-122.31744,100,A,Sunny,NA,NA,No
LC003,UCP-SK-003,SK,6/21/2022,6,BSW,Seattle,47.65266,-122.31744,100,B,Sunny,NA,NA,No
LC004,UCP-SK-004,SK,6/21/2022,6,BSW,Seattle,47.65253,-122.31757,100,C,Sunny,Dry,Not a lot of sample would scrape off dock,No
LC005,UCP-SK-005,SK,6/21/2022,6,BSW,Seattle,47.65253,-122.31757,50,C,Sunny,Dry,"Seeds, could be raccoon maybe not sure but on top of older otter scat",No
LC006,UCP-SK-007,SK,7/1/2022,7,LNM,Seattle,47.60435,-122.28276,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC007,UCP-SK-008,SK,7/1/2022,7,LNM,Seattle,47.60435,-122.28276,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC008,UCP-SK-009,SK,7/1/2022,7,LNM,Seattle,47.60435,-122.28276,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC009,UCP-SK-010,SK,7/1/2022,7,LNM,Seattle,47.60436,-122.28273,100,B,Sunny,NA,NA,No
LC010,UCP-SK-011,SK,7/1/2022,7,LNM,Seattle,47.60434,-122.28278,100,B,Sunny,NA,NA,No
LC011,UCP-SK-012,SK,7/1/2022,7,LNM,Seattle,47.60442,-122.28262,100,B,Sunny,NA,Dry anal jelly,Yes
LC012,UCP-SK-013,SK,7/1/2022,7,LNM,Seattle,47.60442,-122.28262,100,C,Sunny,NA,NA,No
LC013,UCP-SK-014,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC014,UCP-SK-015,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC015,UCP-SK-016,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC016,UCP-SK-017,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC017,UCP-SK-018,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC018,UCP-SK-019,SK,7/1/2022,7,LNM,Seattle,47.60444,-122.28269,100,,Sunny,NA,Gaia didn't save my fucking notes,No
LC019,UCP-OC-11,OC,8/12/2022,8,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC020,UCP-OC-12,OC,8/12/2022,8,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC021,UCP-OC-13,OC,8/12/2022,8,BSW,Seattle,47.65261,-122.31747,100,C,Sunny,,,No
LC022,UCP-OC-16,OC,8/19/2022,8,BSW,Seattle,47.6526,-122.31753,100,C,Cloudy/drizzling,,,No
LC023,UCP-SK-020,SK,7/1/2022,7,LWM,Seattle,47.56326,-122.26598,100,B,Sunny,NA,NA,No
LC024,UCP-SK-022,SK,7/1/2022,7,LWM,Seattle,47.56326,-122.26598,100,B,Sunny,NA,NA,No
LC025,UCP-SK-028,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC026,UCP-SK-029,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC027,UCP-SK-030,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC028,UCP-SK-031,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC029,UCP-SK-032,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC030,UCP-SK-033,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,C,Sunny,NA,NA,No
LC031,UCP-SK-034,SK,7/22/2022,7,LNM,Seattle,47.60436,-122.28295,100,B,Sunny,NA,NA,No
LC032,UCP-SK-035,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,A,Sunny,NA,NA,No
LC033,UCP-SK-036,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC034,UCP-SK-037,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC035,UCP-SK-038,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC036,UCP-SK-039,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC037,UCP-SK-040,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC038,UCP-SK-041,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC039,UCP-SK-042,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC040,UCP-SK-043,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC041,UCP-SK-044,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC042,UCP-SK-045,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC043,UCP-SK-046,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC044,UCP-SK-047,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC045,UCP-SK-049,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC046,UCP-SK-050,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC048,UCP071,YH,4/14/2022,4,FGL,Tukwila,47.47984,-122.256546,,,,,,
LC049,UCP072,YH,4/14/2022,4,FGL,Tukwila,47.47984,-122.25655,,,,,,
LC050,UCP-SK-048,SK,7/22/2022,7,LNM,Seattle,47.6035,-122.28438,100,C,Sunny,NA,NA,No
LC051,UCP073,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC052,UCP074,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,,,
LC053,UCP075,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC054,UCP076,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,A,,,,
LC055,UCP077,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,
LC056,UCP078,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,
LC057,UCP079,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,
LC058,UCP080,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,
LC059,UCP081,YH,4/14/2022,4,LWM,Seattle,47.5633358,-122.2658955,,C,,,,
LC060,UCP082,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC061,UCP083,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC062,UCP084,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC063,UCP085,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC064,UCP086,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC065,UCP087,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC066,UCP088,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC067,UCP089,YH,4/14/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,,,
LC068,UCP090,SK,4/13/2022,4,LWM,Seattle,47.56339,-122.26593,100,C,,super old,,
LC069,UCP091,SK,4/13/2022,4,MBB,Seattle,47.58025,-122.28403,100,C,,,,
LC070,UCP092,YH,4/14/2022,4,LSM,Seattle,47.60105,-122.28529,100,C,,,,
LC071,UCP093,YH,4/14/2022,4,LNM,Seattle,47.60452,-122.28271,100,C,,,,
LC072,UCP094,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC073,UCP095,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC074,UCP096,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC075,UCP097,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC076,UCP098,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC077,UCP099,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC078,UCP100,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC079,UCP102,YH,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC080,UCP103,SK,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,C,,,,
LC081,UCP104,SK,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,B,,,,
LC082,UCP105,SK,4/14/2022,4,LNM,Seattle,47.60462,-122.28269,100,B,,,,
LC083,UCP106,SK,4/14/2022,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,
LC084,UCP107,SK,4/14/2022,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,
LC085,UCP108,SK,4/14/2022,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,
LC086,UCP109,SK,4/14/2022,4,LNM,Seattle,47.60475,-122.28266,100,C,,,,
LC087,UCP110,YH,4/15/2022,4,CWG,Kent,47.38857,-122.2732,100,B,,,,
LC088,UCP110A,YH,4/14/2022,4,LNM,Seattle,47.60475,-122.28266,199,A,,,,Yes
LC089,UCP111,YH,4/15/2022,4,CWG,Kent,47.38857,-122.2732,100,C,,,,
LC090,UCP112,YH,4/15/2022,4,CWG,Kent,47.38857,-122.2732,100,C,,,,
LC091,UCP113,YH,4/15/2022,4,CWG,Kent,47.38851,-122.27329,100,C,,,,
LC092,UCP114,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,C,,,,
LC093,UCP115,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,C,,,,
LC094,UCP116,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,C,,,,
LC095,UCP117,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,A,,,"still warm, fresh out of butt",
LC096,UCP118,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,C,,,,
LC097,UCP119,SK,4/15/2022,4,DSS,Seattle,47.51411,-122.3056,100,A,,,,
LC098,UCP133,YH,4/21/2022,4,GGP,Seattle,47.69436,-122.40418,100,B,,,,
LC099,UCP134,YH,4/21/2022,4,GGP,Seattle,47.69436,-122.40418,100,C,,,,
LC100,UCP160,SK,4/24/2022,4,DNB,Seattle,47.66255,-122.43282,100,,,,,
LC101,UCP161,SK,4/24/2022,4,DNB,Seattle,47.66255,-122.43282,100,,,,,
LC102,UCP162,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC103,UCP163,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC104,UCP164,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC105,UCP165,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC106,UCP166,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC107,UCP167,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC108,UCP168,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC109,UCP169,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC110,UCP170,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC111,UCP171,SK,4/24/2022,4,DNB,Seattle,47.66584,-122.42427,100,,,,,
LC112,UCP194,SK,6/2/2022,6,LNM,Seattle,47.60456,-122.28268,100,B,,,,
LC113,UCP195,SK,6/2/2022,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,
LC114,UCP196,SK,6/2/2022,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,
LC115,UCP197,SK,6/2/2022,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,
LC116,UCP198,SK,6/2/2022,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,
LC117,UCP199,SK,6/2/2022,6,LNM,Seattle,47.60448,-122.28271,100,C,,,,
LC118,UCP200,SK,6/2/2022,6,LNM,Seattle,47.60434,-122.28277,100,C,,,,
LC119,UCP201,SK,6/2/2022,6,LNM,Seattle,47.60434,-122.28277,100,C,,,,
LC120,UCP202,SK,6/2/2022,6,LNM,Seattle,47.60434,-122.28277,100,B,,,,
LC121,UCP203,SK,6/2/2022,6,LNM,Seattle,47.56326,-122.2659,100,A,,,,
LC122,UCP204,SK,6/2/2022,6,LNM,Seattle,47.56326,-122.2659,100,A,,,,
LC123,UCP205,SK,6/2/2022,6,LNM,Seattle,47.56326,-122.2659,100,B,,,,
LC124,UCP206,SK,6/2/2022,6,LNM,Seattle,47.56326,-122.2659,100,C,,,,
LC125,UCP210,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,anal jelly,Yes
LC126,UCP211,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,anal jelly (a lot),Yes
LC127,UCP212,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,,
LC128,UCP213,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,,
LC129,UCP214,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,,
LC130,UCP215,YH,6/13/2022,6,GGC,Bellevue,47.60649,-122.16212,100,B,Cloudy,,,
LC131,UCP228,YH,6/20/2022,6,GGC,Bellevue,47.60653,-122.16219,100,C,Cloudy,,,
LC132,UCP229,YH,6/21/2022,6,GGC,Bellevue,47.60653,-122.16219,100,A,Cloudy,,anal jelly (a lot),Yes
LC133,UCP230,YH,6/21/2022,6,GGC,Bellevue,47.60653,-122.16219,100,C,Cloudy,,,
LC134,UCP231,YH,6/21/2022,6,GGC,Bellevue,47.60653,-122.16219,100,B,Cloudy,,,
LC135,UCP232,YH,6/21/2022,6,GGC,Bellevue,47.60653,-122.16219,100,B,Cloudy,,,
LC136,UCP233,YH,6/21/2022,6,GGC,Bellevue,47.60653,-122.16219,100,C,Cloudy,,,
LC137,UCP234,YH,6/21/2022,6,GGC,Bellevue,47.61044,-122.16336,100,B,Cloudy,,,
LC138,UCP237,YH,6/22/2022,6,BRF,Renton,47.47421,-122.23854,100,B,Sunny,,,
LC139,UCP238,YH,6/22/2022,6,BRF,Renton,47.4732,-122.2385,100,C,Sunny,old af,,
LC140,UCP239,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,C,Sunny,,,
LC141,UCP240,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC142,UCP241,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC143,UCP242,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,C,Sunny,,,
LC144,UCP243,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC145,UCP244,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC146,UCP245,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,B,Sunny,,,
LC147,UCP246,YH,6/22/2022,6,DSS,Seattle,47.51403,-122.30568,100,C,Sunny,,,
LC148,UCP248,YH,6/22/2022,6,DSS,Seattle,47.51415,-122.30576,100,A,Sunny,,anal jelly only,Yes
LC149,UCP251,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
LC150,UCP252,YH,6/23/2022,6,LNM,Seattle,47.60455,-122.28269,100,C,Sunny,,,
