station,lat,lon,season,days.active
BGP1,47.66681,-122.28342,Spring19,27
BGP1,47.66681,-122.28342,Summer19,31
BGP1,47.66681,-122.28342,Fall19,32
BGP2,47.66616,-122.28327,Winter20,28
BGP2,47.66616,-122.28327,Spring20,30
BGP2,47.66616,-122.28327,Summer20,37
BGP2,47.66616,-122.28327,Fall20,31
BRF1,47.47522,-122.24035,Spring19,38
BRF1,47.47522,-122.24035,Fall19,35
BRF2,47.47647,-122.23516,Fall20,36
DOS1,47.74577,-121.96749,Spring19,35
DOS1,47.74577,-121.96749,Fall19,36
DOS1,47.74577,-121.96749,Spring20,37
DOS1,47.74577,-121.96749,Summer20,31
DRP2,47.64354,-122.36046,Summer19,31
DRP2,47.64354,-122.36046,Fall19,31
DRP2,47.64354,-122.36046,Winter20,31
DRP2,47.64354,-122.36046,Spring20,30
DRP2,47.64354,-122.36046,Summer20,31
DRP2,47.64354,-122.36046,Fall20,31
DSP1,47.6598,-122.41942,Spring19,27
DSP1,47.6598,-122.41942,Summer19,31
DSP1,47.6598,-122.41942,Fall19,31
DSP1,47.6598,-122.41942,Winter20,31
DSP1,47.6598,-122.41942,Spring20,30
DSP1,47.6598,-122.41942,Summer20,31
DSP1,47.6598,-122.41942,Fall20,31
DWP1,47.53195,-122.32024,Spring19,36
DWP1,47.53195,-122.32024,Summer19,35
DWP1,47.53195,-122.32024,Fall19,36
FGL1,47.48434,-122.26262,Spring19,39
FGL1,47.48434,-122.26262,Fall19,28
FGL1,47.48434,-122.26262,Winter20,31
FGL1,47.48434,-122.26262,Spring20,30
FGL1,47.48434,-122.26262,Summer20,31
FGL1,47.48434,-122.26262,Fall20,31
FRD1,47.75103,-122.00792,Spring19,30
FRD1,47.75103,-122.00792,Summer19,29
FRD1,47.75103,-122.00792,Fall19,35
FRD1,47.75103,-122.00792,Winter20,32
FRD1,47.75103,-122.00792,Summer20,33
FRD1,47.75103,-122.00792,Fall20,33
HCN1,47.51622,-122.30736,Spring19,36
HCN1,47.51622,-122.30736,Summer19,39
HCN1,47.51622,-122.30736,Fall19,36
HCN1,47.51622,-122.30736,Winter20,35
HCN1,47.51622,-122.30736,Summer20,38
HFW1,47.70676,-122.19162,Spring19,30
HFW1,47.70676,-122.19162,Summer19,34
HFW1,47.70676,-122.19162,Fall19,33
HFW1,47.70676,-122.19162,Winter20,32
HFW1,47.70676,-122.19162,Summer20,29
HFW1,47.70676,-122.19162,Fall20,31
IRP1,47.69055,-122.28101,Spring19,28
IRP1,47.69055,-122.28101,Summer19,34
IRP1,47.69055,-122.28101,Fall19,31
IRP1,47.69055,-122.28101,Winter20,31
IRP1,47.69055,-122.28101,Spring20,30
IRP1,47.69055,-122.28101,Summer20,31
IRP1,47.69055,-122.28101,Fall20,31
JBP1,47.695583,-122.203475,Spring19,30
JBP1,47.695583,-122.203475,Summer19,33
JBP1,47.695583,-122.203475,Fall19,46
JBP1,47.695583,-122.203475,Winter20,30
JBP1,47.695583,-122.203475,Spring20,33
JBP1,47.695583,-122.203475,Summer20,33
JBP1,47.695583,-122.203475,Fall20,31
LTP1,47.65483,-122.39368,Spring19,34
LWP2,47.66921,-122.34483,Summer19,23
LWP2,47.66921,-122.34483,Winter20,35
LWP3,47.66901,-122.34405,Summer20,35
LWP3,47.66901,-122.34405,Fall20,32
MBC1,47.70461,-122.08888,Spring19,33
MBC1,47.70461,-122.08888,Summer19,22
MBC1,47.70461,-122.08888,Fall19,31
MBC1,47.70461,-122.08888,Winter20,10
MBC2,47.70431,-122.08896,Winter20,21
MBC2,47.70431,-122.08896,Spring20,30
MBC2,47.70431,-122.08896,Summer20,30
MGP1,47.68166,-122.25092,Spring19,31
MGP1,47.68166,-122.25092,Summer19,34
MGP1,47.68166,-122.25092,Fall19,31
MGP1,47.68166,-122.25092,Winter20,31
MGP1,47.68166,-122.25092,Spring20,30
MGP1,47.68166,-122.25092,Summer20,31
MGP1,47.68166,-122.25092,Fall20,18
MPO1,47.44997,-122.11071,Spring19,30
MPO1,47.44997,-122.11071,Summer19,34
MPO1,47.44997,-122.11071,Fall19,35
MPO1,47.44997,-122.11071,Winter20,34
MPO1,47.44997,-122.11071,Summer20,37
MPO1,47.44997,-122.11071,Fall20,40
MSR1,47.54984,-122.3086,Spring19,32
MSR1,47.54984,-122.3086,Summer19,36
MSR1,47.54984,-122.3086,Fall19,36
MSR1,47.54984,-122.3086,Winter20,31
MSR1,47.54984,-122.3086,Spring20,30
MSR1,47.54984,-122.3086,Summer20,31
MSR1,47.54984,-122.3086,Fall20,31
MWP1,47.5609279,-122.3184906,Spring19,32
MWP1,47.5609279,-122.3184906,Summer19,10
MWP2,47.56073,-122.31937,Summer19,21
MWP2,47.56073,-122.31937,Fall19,31
MWP2,47.56073,-122.31937,Winter20,36
