Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP001,YH,River otter,1/6/22,1,WPA,Seattle,47.64598,-122.29378,100,,,,formerly ott 001-005,,,,,,,,,,,,,,,,,,,,,,
UCP002,YH,River otter,1/6/22,1,WPA,Seattle,47.64598,-122.29378,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP003,YH,River otter,1/6/22,1,WPA,Seattle,47.64598,-122.29378,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP004,YH,River otter,1/6/22,1,WPA,Seattle,47.64598,-122.29378,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP005,YH,River otter,1/6/22,1,WPA,Seattle,47.64598,-122.29378,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP006,YH,River otter,1/27/22,1,FGL,Tukwila,47.47996,-122.25658,100,,,,formerly YH-001-ott,,,,,,,,,,,,,,,,,,,,,,
UCP007,YH,River otter,1/27/22,1,CWG,Kent,47.38808,-122.27296,100,,,,formerly YH-003-ott,,,,,,,,,,,,,,,,,,,,,,
UCP008,YH,Coyote,1/27/22,1,CWG,Kent,47.38853,-122.27325,70,,,,formerly YH-004-coy,,STL285,,,,,,,,,,,,,,,,,,,,
UCP009,YH,River otter,1/27/22,1,CWG,Kent,47.38853,-122.27325,70,,,,formerly YH-002-ott,,,,,,,,,,,,,,,,,,,,,,
UCP010,YH,Coyote,1/27/22,1,CWG,Kent,47.38821,-122.27284,100,,,,formerly YH-005-coy,,STL001,,,,,,,,,,,,,,,,,,,,
UCP011,YH,Unknown,1/27/22,1,CWG,Kent,47.38808,-122.27296,100,,,,formerly YH-001-unk - might be some sort of anal jelly? subset of a very large glob,,,,,,,,,,,,,,,,,,,,,,
UCP012,YH,Coyote,1/11/22,1,LBP,Mercer Island,47.59217,-122.22727,100,,,,formerly YH-002-coy,,STL002,,,,,,,,,,,,,,,,,,,,
UCP013,YH,Coyote,1/11/22,1,LBP,Mercer Island,47.59212,-122.22720,100,,,,formerly YH-001-COY,,STL003,,,,,,,,,,,,,,,,,,,,
UCP014,YH,Coyote,1/11/22,1,LBP,Mercer Island,47.59143,-122.22840,100,,,,formerly YH-003-coy,,STL004,,,,,,,,,,,,,,,,,,,,
UCP015,YH,Coyote,2/11/22,2,JBP,Kirkland,47.69682,-122.21199,70,,,,,,STL005,,,,,,,,,,,,,,,,,,,,
UCP016,YH,Coyote,2/11/22,2,JBP,Kirkland,47.69644,-122.21270,100,,,,,,STL006,,,,,,,,,,,,,,,,,,,,
UCP017,YH,River otter,2/24/22,2,WPA,Seattle,47.64592,-122.29356,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP018,YH,RIver otter,2/24/22,2,WPA,Seattle,47.64620,-122.29434,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP019,YH,River otter,2/24/22,2,WPA,Seattle,47.64620,-122.29434,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP020,YH,River otter,2/24/22,2,WPA,Seattle,47.64620,-122.29434,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP021,YH,River otter,2/24/22,2,WPA,Seattle,47.64609,-122.29411,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP022,EM,Coyote,4/28/22,4,KBG,Shoreline,47.77629,-122.37568,100,A,,,,,STL287,,,,,,,,,,,,,,,,,,,,
UCP023,EM,Coyote,4/8/22,4,KBG,Shoreline,47.77648,-122.37619,100,A,,,,,STL288,,,,,,,,,,,,,,,,,,,,
UCP026,YH,River otter,2/24/22,2,WPA,Seattle,47.64600,-122.29379,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP027,YH,River otter,2/24/22,2,WPA,Seattle,47.64600,-122.29379,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP028,YH,River otter,2/24/22,2,WPA,Seattle,47.64600,-122.29379,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP029,YH,River otter,2/24/22,2,WPA,Seattle,47.64600,-122.29379,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP030,YH,Coyote,2/24/22,2,WPA,Seattle,47.64173,-122.29259,100,,,,,,STL289,,,,,,,,,,,,,,,,,,,,
UCP032,YH,Coyote,3/4/22,3,MAG,Seattle,47.67517,-122.25321,100,,,,,,STL007,,,,,,,,,,,,,,,,,,,,
UCP034,YH,Coyote,3/9/22,3,BSW,Seattle,47.65259,122.31757,70,C,,,"Coyote?? Found near otter latrine, right outside marina",,STL290,,,,,,,,,,,,,,,,,,,,
UCP035,YH,River otter,4/6/22,4,WPA,Seattle,47.64609,-122.29411,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP036,YH,River otter,4/4/22,4,MBB,Seattle,47.58021,-122.28404,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP037,YH,River otter,4/6/22,4,BSW,Seattle,47.65259,-122.31757,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP038,YH,River otter,3/16/22,3,MBB,Seattle,47.58020,-122.28406,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP039,YH,River otter,3/16/22,3,MBB,Seattle,47.58019,-122.28406,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP040,YH,River otter,3/16/22,3,MBB,Seattle,47.58020,-122.28406,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP041,YH,River otter,3/16/22,3,MBB,Seattle,47.58021,-122.28402,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP043,YH,River otter,4/6/22,4,WPA,Seattle,47.64609,-122.29411,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP044,YH,River otter,4/6/22,4,BSW,Seattle,47.65249,-122.31758,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP045,YH,River otter,4/6/22,4,BSW,Seattle,47.65247,-122.31758,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP046,EL,River otter,4/6/22,4,WPA,Seattle,47.64607,-122.29401,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP047,YH,River otter,4/4/22,4,CRT,Renton,47.49942,-122.21502,100,B,,,,,STL291,,,,,,,,,,,,,,,,,,,,
UCP048,YH,River otter,4/4/22,4,MBB,Seattle,47.58022,-122.28406,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP049,YH,RIver otter,3/29/22,3,WNP,Hunts Point,47.64027,-122.22440,100,A,,,,,,,,,,,,,,,,,,,,,,,,,
UCP050,YH,River otter,4/4/22,4,LBP,Mercer Island,47.59292,-122.22504,80,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP051,YH,River otter,4/4/22,4,LBP,Mercer Island,47.59287,-122.22504,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP052,YH,Coyote,4/4/22,4,LBP,Mercer Island,47.59194,-122.22841,100,B,,,,,STL008,,,,,,,,,,,,,,,,,,,,
UCP053,,,,,,,,,,,,,Does this sample exist,,,,,,,,,,,,,,,,,,,,,,
UCP054,YH,River otter,4/4/22,4,LBP,Mercer Island,47.59291,-122.22506,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP055,YH,Coyote,3/15/22,3,UNB,Seattle,47.65459,-122.29203,100,,,,,,STL009,,,,,,,,,,,,,,,,,,,,
UCP056,YH,RIver otter,3/16/22,3,MBB,Seattle,47.58025,-122.28403,100,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP057,YH,Coyote,3/29/22,3,WNP,Hunts Point,47.64054,-122.22331,100,C,,smushed,,,STL010,,,,,,,,,,,,,,,,,,,,
UCP058,YH,River otter,4/4/22,4,LBP,Mercer Island,47.59291,-122.22504,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP059,YH,River otter,3/29/22,3,WNP,Hunts Point,47.64026,-122.22445,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP070,YH,River otter,4/14/2022,4,FGL,Tukwila,47.47883,-122.259193,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP071,YH,River otter,4/14/2022,4,FGL,Tukwila,47.47984,-122.256546,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCP072,YH,River otter,4/14/2022,4,FGL,Tukwila,47.47984,-122.256550,,,,,,,,,,,,,,,,,,,,,,,,,,,
