"","site","prop_ndvi_0.5","prop_ndvi_0.6","prop_ndvi_avg"
"1","B-TP",0.332630191166777,0.188398154251813,0.240234441073352
"2","BGP1",0.654363300817295,0.294621671500132,0.53296147786643
"3","BRF1",0.550178029803508,0.421337201635237,0.516446503303058
"4","DOS1",0.977185810365291,0.93393116180931,0.819565816953254
"5","DRP2",0.492946605141727,0.202373104812129,0.480328032761791
"6","DSP1",0.719541139240506,0.639636075949367,0.598075399268281
"7","DWP1",0.13529179291266,0.0599394019233303,0.222804275918018
"8","FGL1",0.604614370468029,0.450362557679631,0.551969321334661
"9","FRD1",0.956498813604007,0.929343527550751,0.806687909739488
"10","G-CBP1",0.517332278898115,0.303281929616449,0.521033096566113
"11","G-CLP3",0.454449571522742,0.264601186552406,0.503881892560439
"12","G-FP1",0.314914941316102,0.143610708162996,0.448632432607688
"13","G-IP",0.276166622726074,0.166359082520432,0.379667036932631
"14","G-JP",0.347837552742616,0.104166666666667,0.463820879295002
"15","G-KP1",0.233641160949868,0.0507915567282322,0.425164714314309
"16","G-OTP",0.204431548404115,0.127934581904511,0.362159219513816
"17","G-SB",0.429400131839156,0.35174686882004,0.383154908307793
"18","G-SERA",0.251943602582685,0.137699301620767,0.383892599934988
"19","G-SP",0.19280442804428,0.115972588297312,0.353427771170263
"20","G-TNC1",0.394962415930371,0.278649610971911,0.46306651919097
"21","G-VP",0.469603059475142,0.288012659897138,0.531508223471728
"22","G-WLP1",0.293023869181063,0.178557299221944,0.394618919023472
"23","G-WP2",0.432396781427252,0.254320010552698,0.481270807385861
"24","HCN1",0.264205669083718,0.162162162162162,0.304928179877132
"25","HFW1",0.625049439683586,0.427949901120633,0.538298621682613
"26","IRP1",0.777939042089985,0.508642301095131,0.5995804710262
"27","JBP1",0.855842785544711,0.657214455288842,0.662095095062286
"28","LTP1",0.456043231843944,0.214841175695268,0.457082776052088
"29","LWP2",0.490705339485827,0.270665787738958,0.468231997054086
"30","MBC1",0.931557431095872,0.85625741790848,0.754359457116182
"31","MGP1",0.354647330257086,0.256954515491101,0.295900378001025
"32","MPO1",0.909150843881857,0.856276371308017,0.790414772404138
"33","MSR1",0.28558249868213,0.117422245651028,0.409976961369342
"34","MWP1",0.235992089650626,0.132102834541859,0.347996468702707
"35","NRP1",0.737903757415952,0.518391562294001,0.591359130292885
"36","P-BLP",0.581751054852321,0.410337552742616,0.539703698175439
"37","P-CCP",0.820759694012134,0.630704299657083,0.673775227637718
"38","P-CUP",0.448048523206751,0.218486286919831,0.331496356440858
"39","P-DPV",0.304691618344755,0.301792303637322,0.179585659624741
"40","P-GP",0.308148734177215,0.147811181434599,0.174062714500898
"41","P-GW1",0.120152993932999,0.078739118965972,0.197816134919076
"42","P-JCP",0.386441572144553,0.161698760221577,0.493610657243521
"43","P-LCC",0.570166183065154,0.435373252439989,0.547250189398045
"44","P-MCP",0.0947923533289387,0.050098879367172,0.243300378080447
"45","P-MKP2",0.242124686964545,0.153947541847898,0.359781674818789
"46","P-OB",0.526308848740604,0.521297639456679,0.362199892085671
"47","P-OLT",0.896610840036925,0.845180007912436,0.747569518465069
"48","P-OV1",0.969141500725307,0.92113939074245,0.807126899832128
"49","P-PCNA2",0.508767303889255,0.252340145023072,0.411390769776174
"50","P-PDP",0.379614978902954,0.307621308016878,0.282703749753812
"51","P-RP",0.243410648392198,0.113073273589879,0.355898712709671
"52","P-RT",0.393459915611814,0.204905063291139,0.422282432967713
"53","P-RWSR",0.797891963109354,0.752569169960474,0.697173324182178
"54","P-SCP2",0.645220830586684,0.51641397495056,0.603709677722362
"55","P-STP",0.414447666754548,0.226469812813077,0.24252138876904
"56","P-TE1",0.873549578059072,0.783095991561181,0.720034921677382
"57","P-UCC",0.741693037974684,0.625395569620253,0.627943521877358
"58","P-UWT",0.0970720126615669,0.0261144816671063,0.265200580279865
"59","P-WBC",0.68759066332586,0.471185546617434,0.583752539568411
"60","P-WP",0.259957794777104,0.127407016618307,0.24333229110864
"61","P-WWP",0.82201713909031,0.635728411338167,0.67607661271167
"62","PGP1",0.622726074347482,0.496308990245188,0.556337393721259
"63","PHN1",0.497694030834102,0.168533403610489,0.501300648690283
"64","RHF1",0.967474321833026,0.946273373716092,0.847479037960124
"65","RVP1",0.530450830477195,0.237279198523596,0.484490867173421
"66","RWP1",0.954119973632169,0.935266974291365,0.837658462914575
"67","SVP1",0.800844104457927,0.718543919810076,0.688744390497843
"68","SWD1",0.860869565217391,0.7133069828722,0.68740967016996
"69","TCC1",0.658932102834542,0.379696769940672,0.585335786907333
"70","TMF1",0.988272499670576,0.963895111345368,0.854171628122399
"71","TMP1",0.231387534589537,0.184741072605086,0.256631297979666
"72","TRN1",0.96123417721519,0.888844936708861,0.779343557938981
"73","WCP2",0.516277843679979,0.369315935152234,0.513010250831886
"74","WDG1",0.5042194092827,0.394119198312236,0.475482156960799
