station,season,species,capture.count
BGP1,Spring19,Canis latrans,0
BGP1,Spring19,Didelphis virginiana,0
BGP1,Spring19,Lontra canadensis,0
BGP1,Spring19,Lynx rufus,0
BGP1,Spring19,Mephitis mephitis,0
BGP1,Spring19,Odocoileus hemionus,0
BGP1,Spring19,Procyon lotor,0
BGP1,Spring19,Ursus americanus,0
BGP1,Summer19,Canis latrans,0
BGP1,Summer19,Didelphis virginiana,0
BGP1,Summer19,Lontra canadensis,0
BGP1,Summer19,Lynx rufus,0
BGP1,Summer19,Mephitis mephitis,0
BGP1,Summer19,Odocoileus hemionus,0
BGP1,Summer19,Procyon lotor,0
BGP1,Summer19,Ursus americanus,0
BGP1,Fall19,Canis latrans,0
BGP1,Fall19,Didelphis virginiana,1
BGP1,Fall19,Lontra canadensis,0
BGP1,Fall19,Lynx rufus,0
BGP1,Fall19,Mephitis mephitis,0
BGP1,Fall19,Odocoileus hemionus,0
BGP1,Fall19,Procyon lotor,0
BGP1,Fall19,Ursus americanus,0
BGP2,Winter20,Canis latrans,0
BGP2,Winter20,Didelphis virginiana,0
BGP2,Winter20,Lontra canadensis,0
BGP2,Winter20,Lynx rufus,0
BGP2,Winter20,Mephitis mephitis,0
BGP2,Winter20,Odocoileus hemionus,0
BGP2,Winter20,Procyon lotor,0
BGP2,Winter20,Ursus americanus,0
BGP2,Spring20,Canis latrans,0
BGP2,Spring20,Didelphis virginiana,0
BGP2,Spring20,Lontra canadensis,0
BGP2,Spring20,Lynx rufus,0
BGP2,Spring20,Mephitis mephitis,0
BGP2,Spring20,Odocoileus hemionus,0
BGP2,Spring20,Procyon lotor,0
BGP2,Spring20,Ursus americanus,0
BGP2,Summer20,Canis latrans,0
BGP2,Summer20,Didelphis virginiana,0
BGP2,Summer20,Lontra canadensis,0
BGP2,Summer20,Lynx rufus,0
BGP2,Summer20,Mephitis mephitis,0
BGP2,Summer20,Odocoileus hemionus,0
BGP2,Summer20,Procyon lotor,1
BGP2,Summer20,Ursus americanus,0
BGP2,Fall20,Canis latrans,17
BGP2,Fall20,Didelphis virginiana,18
BGP2,Fall20,Lontra canadensis,0
BGP2,Fall20,Lynx rufus,0
BGP2,Fall20,Mephitis mephitis,0
BGP2,Fall20,Odocoileus hemionus,0
