station,season,species,photodate,phototime
BGP1,Fall19,Didelphis virginiana,2019-10-08,05:13:31
BGP2,Summer20,Procyon lotor,2020-07-03,04:25:00
BGP2,Fall20,Canis latrans,2020-10-06,11:44:29
BGP2,Fall20,Canis latrans,2020-10-06,12:13:09
BGP2,Fall20,Didelphis virginiana,2020-10-07,01:10:16
BGP2,Fall20,Procyon lotor,2020-10-07,19:05:01
BGP2,Fall20,Didelphis virginiana,2020-10-09,00:10:14
BGP2,Fall20,Didelphis virginiana,2020-10-09,00:11:43
BGP2,Fall20,Didelphis virginiana,2020-10-09,01:18:48
BGP2,Fall20,Didelphis virginiana,2020-10-09,02:59:07
BGP2,Fall20,Procyon lotor,2020-10-10,19:12:09
BGP2,Fall20,Didelphis virginiana,2020-10-10,22:43:39
BGP2,Fall20,Procyon lotor,2020-10-11,01:06:07
BGP2,Fall20,Procyon lotor,2020-10-11,05:32:41
BGP2,Fall20,Procyon lotor,2020-10-11,17:19:35
BGP2,Fall20,Procyon lotor,2020-10-11,19:25:46
BGP2,Fall20,Procyon lotor,2020-10-11,19:39:53
BGP2,Fall20,Procyon lotor,2020-10-11,19:45:23
BGP2,Fall20,Didelphis virginiana,2020-10-12,02:20:27
BGP2,Fall20,Didelphis virginiana,2020-10-01,01:44:47
BGP2,Fall20,Didelphis virginiana,2020-10-12,20:32:35
BGP2,Fall20,Procyon lotor,2020-10-14,18:47:08
BGP2,Fall20,Didelphis virginiana,2020-10-14,20:52:48
BGP2,Fall20,Didelphis virginiana,2020-10-14,20:53:52
BGP2,Fall20,Procyon lotor,2020-10-16,20:05:05
BGP2,Fall20,Procyon lotor,2020-10-17,18:37:55
BGP2,Fall20,Didelphis virginiana,2020-10-19,20:15:24
BGP2,Fall20,Didelphis virginiana,2020-10-01,02:33:25
BGP2,Fall20,Canis latrans,2020-10-24,09:33:26
BGP2,Fall20,Procyon lotor,2020-10-02,19:30:38
BGP2,Fall20,Canis latrans,2020-10-26,10:53:48
BGP2,Fall20,Canis latrans,2020-10-26,11:17:22
BGP2,Fall20,Canis latrans,2020-10-26,12:04:06
BGP2,Fall20,Canis latrans,2020-10-26,12:43:36
BGP2,Fall20,Didelphis virginiana,2020-10-03,02:25:15
BGP2,Fall20,Canis latrans,2020-10-26,13:39:33
