"Species","Season","Site","Start","End","City","Long","Lat","Crs","Y","J"
"black_bear","JA19","B-TP","2018-12-18",2019-02-14,"tawa",-122.552339599822,47.2525106494601,4326,0,0
"black_bear","JA19","G-CBP1","2018-12-18",2019-02-14,"tawa",-122.42682659565,47.1883190230464,4326,0,35
"black_bear","JA19","G-CLP2","2018-12-18",2019-02-14,"tawa",-122.51049480599,47.2456042350657,4326,0,36
"black_bear","JA19","G-FP1","2018-12-18",2019-02-14,"tawa",-122.480013118232,47.2466037631008,4326,0,36
"black_bear","JA19","G-IP","2018-12-18",2019-02-14,"tawa",-122.463049827804,47.2356599439212,4326,0,0
"black_bear","JA19","G-JP","2018-12-18",2019-02-14,"tawa",-122.489794259555,47.2573558217333,4326,0,36
"black_bear","JA19","G-KP","2018-12-18",2019-02-14,"tawa",-122.508393980677,47.2698548821991,4326,0,35
"black_bear","JA19","G-OTP","2018-12-18",2019-02-14,"tawa",-122.476824565275,47.1879193596062,4326,0,36
"black_bear","JA19","G-SB","2018-12-18",2019-02-14,"tawa",-122.529969542135,47.2982001952092,4326,0,35
"black_bear","JA19","G-SERA","2018-12-18",2019-02-14,"tawa",-122.491189899615,47.2027910603601,4326,0,0
"black_bear","JA19","G-SP","2018-12-18",2019-02-14,"tawa",-122.480819906749,47.2108521554902,4326,0,15
"black_bear","JA19","G-TNC2","2018-12-18",2019-02-14,"tawa",-122.490301067479,47.2403511038645,4326,0,0
"black_bear","JA19","G-VP","2018-12-18",2019-02-14,"tawa",-122.520016335746,47.279892326229,4326,0,36
"black_bear","JA19","G-WLP2","2018-12-18",2019-02-14,"tawa",-122.471540113453,47.1776503080618,4326,0,0
"black_bear","JA19","G-WP2","2018-12-18",2019-02-14,"tawa",-122.458469575719,47.1983578022381,4326,0,36
"black_bear","JA19","P-BLP","2018-12-18",2019-02-14,"tawa",-122.282836205714,47.161673337059,4326,0,35
