site,N,shannon.di,simpson.di,inv.simpson.di,richness,evenness
P-OLT,454,1.8188609210962798,0.8101748529954007,5.268005929560906,11,0.758523919592889
G-VP,237,1.6882182484991062,0.7771546582634549,4.487417112726691,8,0.8118613650159708
MBC1,28,1.645406945393956,0.75,4.000000000000001,8,0.7912734801213727
P-STP,217,1.6438787796586427,0.7636603028308098,4.231197771587744,8,0.790538587745375
P-RWSR,639,1.516650241214069,0.7432191829467503,3.8943719062652002,12,0.6103449565574071
P-RP,1495,1.509817860814041,0.7329287144439101,3.744318667272006,8,0.7260689134806667
HFW1,186,1.468190742149303,0.7410683315990287,3.8620227729403886,7,0.7545007886731409
RHF1,33,1.4586643024454788,0.6923783287419651,3.2507462686567163,8,0.7014692518199506
P-PDP,1074,1.457401022721845,0.7334699638310637,3.7519223513186484,7,0.7489559697447356
FRD1,195,1.4499420743663383,0.7155292570677185,3.515299990755292,8,0.6972747467548577
NRP1,137,1.4457380496909384,0.7118120304757846,3.469957478276946,7,0.7429623872370495
P-OB,310,1.4220452297874429,0.7238293444328825,3.6209495101733236,9,0.6472006750950525
P-CUP,870,1.4040133782505877,0.7233822169375083,3.6150965745180828,7,0.7215201477479308
P-CCP,1487,1.3927014328363176,0.6598482522141003,2.9398643590960636,8,0.6697478168639698
G-SB,526,1.350366519154805,0.7012968237216094,3.347805043318329,6,0.7536539040793151
DSP1,117,1.3362823029103519,0.6992475710424428,3.324993927617197,6,0.7457933533266401
FGL1,30,1.3356166945343824,0.7266666666666667,3.658536585365854,5,0.8298653114952456
P-PCNA2,213,1.32313975214385,0.6573651612334414,2.9185590221936315,8,0.6362957196069949
P-DPV,445,1.3151810804587722,0.6664512056558515,2.998062103526063,10,0.5711758859468014
SWD1,47,1.285933046587403,0.6382978723404256,2.7647058823529416,7,0.6608388610397499
P-WWP,209,1.2705582762528933,0.6454522561296674,2.8204946083812232,7,0.6529377920505297
TMF1,27,1.168063218119402,0.6611796982167353,2.9514170040485834,5,0.7257584831917082
P-SCP2,319,1.1661347763071825,0.6356855769892198,2.7448817198500257,7,0.5992747285239811
P-MKP2,275,1.1420143728129846,0.6210380165289255,2.6387871174849087,6,0.6373703571411845
P-UWT,347,1.1301948604191239,0.6617113338703917,2.9560552868681413,5,0.702229549638126
DRP2,1163,1.0953194185979747,0.6517138866852634,2.871202616959716,6,0.6113094069874635
P-WBC,792,1.062632008120219,0.5794976277930823,2.3781078683378447,8,0.5110179761349736
G-CLP3,543,1.0609355171770247,0.5826779131012823,2.396230708591026,7,0.5452130036384671
MPO1,173,1.0450071702938384,0.5452236960807244,2.198883256189847,5,0.6492994617688472
TCC1,116,1.0217839987201092,0.6183115338882282,2.6199376947040496,4,0.7370613539065982
DOS1,6,1.0114042647073518,0.6111111111111112,2.571428571428571,4,0.7295739585136225
P-BLP,57,1.0008673694055938,0.49492151431209597,1.979890310786106,7,0.5143440820695077
G-CBP1,480,0.9789064980818827,0.5005034722222221,2.002015918807132,6,0.5463381189795669
G-IP,137,0.9631238455394688,0.5530395865522937,2.2373346048396714,6,0.5375296528804796
IRP1,726,0.9607037485280431,0.5707829610910002,2.329823630818194,5,0.5969188007228454
JBP1,176,0.9332413761700832,0.440599173553719,1.7876269621421976,7,0.4795911962446707
P-RT,108,0.9317589111966825,0.497085048010974,1.9884077736106378,5,0.578934362113726
PHN1,299,0.8893311371451457,0.45131486224986306,1.8225388865105092,5,0.5525725038999043
P-GP,443,0.8654380446360984,0.41663397010940184,1.7141896318294974,8,0.41618772506438023
P-TE1,342,0.8377708026640338,0.3493040593686947,1.5368161034319652,10,0.36383923669664797
G-TNC1,1410,0.8205779166717605,0.37489663497811987,1.5997354292997568,9,0.3734611041291823
SVP1,26,0.8101502323878818,0.5177514792899409,2.073619631901841,4,0.5843998613205191
HCN1,51,0.7960285628462652,0.43137254901960786,1.7586206896551724,5,0.49460035500366606
B-TP,137,0.7901328454349072,0.4037508657893335,1.677151282280404,6,0.4409815374243959
LWP2,70,0.7876684261554667,0.466530612244898,1.8745218056618211,5,0.48940591001997935
G-SERA,393,0.7771961452747904,0.46020369183355025,1.8525506471075075,5,0.4828991160642945
BRF1,23,0.7547854950176571,0.41965973534971657,1.7231270358306192,4,0.5444626452984477
TMP1,100,0.7347085478374542,0.46019999999999994,1.8525379770285288,4,0.5299801892319135
G-WLP1,241,0.7337703350713658,0.4871816945300529,1.9500083934866546,5,0.4559171431233515
DWP1,35,0.7337222423485225,0.41142857142857137,1.6990291262135921,4,0.5292687202130718
BGP1,379,0.694829290413676,0.30613821958911447,1.441209226724994,6,0.3877916106189353
RWP1,155,0.6915269393526235,0.3315712799167535,1.4960458309981943,7,0.35537454783734035
P-MCP,469,0.6599227761818014,0.358954541941526,1.5599517747597602,4,0.47603365828358113
MWP1,571,0.5850426982477507,0.2693955668152165,1.368729718270244,6,0.3265185468782844
P-OV1,191,0.584402498651363,0.2562429757956196,1.3445251170161796,6,0.3261612446804266
TRN1,18,0.5566469035821068,0.2901234567901234,1.408695652173913,4,0.40153586366205124
RVP1,944,0.5457836313510092,0.2553123204538925,1.3428448294048685,5,0.3391144368691866
G-KP1,102,0.5446925766052318,0.2743175701653211,1.3780132450331126,5,0.33843652644011807
G-FP1,951,0.5080187265423025,0.22973216526739793,1.2982497190047528,6,0.2835306497702912
G-SP,235,0.4923359275179639,0.2445269352648256,1.3236739291963278,4,0.35514530054081733
LTP1,31,0.4913274484505221,0.31217481789802304,1.4538577912254163,3,0.44722551669814053
P-LCC,126,0.490608868519652,0.21882086167800463,1.2801161103047898,5,0.3048324292160232
WDG1,29,0.47875333041028967,0.244946492271106,1.324409448818898,4,0.34534752779600014
MGP1,83,0.4707082973727189,0.23544781535781678,1.3079551927093223,5,0.2924675091447446
MSR1,497,0.449134815075721,0.2602739171447195,1.3518517505021372,5,0.27906315093351647
G-JP,1110,0.42991034120364474,0.217608960311663,1.2781332470248468,6,0.23993752989002667
P-UCC,135,0.42066869511683347,0.16779149519890257,1.2016219423748928,6,0.23477966900215153
P-JCP,81,0.4195558923202333,0.20301783264746232,1.2547332185886404,4,0.3026456026130723
G-OTP,633,0.41831290910831176,0.17955571528042957,1.2188518082514306,6,0.23346487979691483
G-WP2,413,0.39838673504345035,0.17569429380485313,1.2131421540387337,6,0.22234387030480582
P-WP,199,0.37547154310250563,0.17590464887250323,1.213451815535468,5,0.2332935866625918
PGP1,42,0.36502313423558724,0.20975056689342408,1.265423242467719,3,0.33225837540750514
P-GW1,465,0.3458403723989245,0.19529656607700296,1.2426938395489575,3,0.31479747310873446
WCP2,1,0,0,1,2,0
